elapsed_s,x_m,y_m,yaw_rad,stamp_ns,frame,episode_time_s
0.10195685500002583,-2.9445483684539795,3.752288818359375,-2.998915044321636,1789282073097131430,odom,-2.3507897619992946
0.1743548300000839,-2.94456148147583,3.752228260040283,-2.9991779426829512,1789282073197672545,odom,-2.2783917869992365
0.23610953399929713,-2.944589853286743,3.752230167388916,-2.999330197295158,1789282073243681370,odom,-2.2166370830000233
0.2869894830000703,-2.944589138031006,3.7522318363189697,-2.999045469069386,1789282073331062971,odom,-2.16575713399925
0.3404044270000668,-2.9445247650146484,3.752237319946289,-2.9990411620362907,1789282073370401799,odom,-2.1123421899992536
0.4011632769997959,-2.9445724487304688,3.7522261142730713,-2.9991615688547704,1789282073437002837,odom,-2.0515833399995245
0.4600997580000694,-2.9446022510528564,3.752285957336426,-2.999377169592611,1789282073497115790,odom,-1.992646858999251
0.5226852949999738,-2.944565773010254,3.752312421798706,-2.999335024229144,1789282073544332682,odom,-1.9300613219993465
0.5871236329994645,-2.9445271492004395,3.7522616386413574,-2.9992222117997978,1789282073613887726,odom,-1.865622983999856
0.6634642279996115,-2.944526195526123,3.7522599697113037,-2.9995652495101193,1789282073677060543,odom,-1.789282388999709
0.7316328359993349,-2.9445202350616455,3.752340316772461,-2.999293950822448,1789282073760509669,odom,-1.7211137809999855
0.8078124419998858,-2.944540500640869,3.7523252964019775,-2.999255569501808,1789282073804101883,odom,-1.6449341749994346
0.8630910029996812,-2.944485664367676,3.7522804737091064,-2.9993310028509184,1789282073843937575,odom,-1.5896556139996392
0.9194782479999049,-2.9445066452026367,3.752302885055542,-2.999581371709197,1789282073933641611,odom,-1.5332683689994155
0.9756728899992595,-2.944463014602661,3.752359390258789,-2.9995015715254487,1789282074016982256,odom,-1.477073727000061
1.0328406409998934,-2.944422483444214,3.752295970916748,-2.9994650143888197,1789282074073865830,odom,-1.419905975999427
1.0913822869997603,-2.944488525390625,3.7522454261779785,-2.9997205637213056,1789282074127004324,odom,-1.3613643299995601
1.148175739999715,-2.944566011428833,3.752272605895996,-2.999773952860835,1789282074180385529,odom,-1.3045708769996054
1.1995422139998482,-2.944540500640869,3.7523066997528076,-2.9995897849810196,1789282074240895687,odom,-1.2532044029994722
1.2514353359993038,-2.9444782733917236,3.752264976501465,-2.999650125620915,1789282074280341326,odom,-1.2013112810000166
1.3023320579995925,-2.944472312927246,3.7522377967834473,-2.999806295603694,1789282074340480982,odom,-1.1504145589997279
1.3636779439993916,-2.9445290565490723,3.75225830078125,-2.9999331539787972,1789282074394543349,odom,-1.0890686729999288
1.4270819069997742,-2.9445385932922363,3.752326250076294,-2.9997055212005383,1789282074460486590,odom,-1.0256647099995462
1.4826574929993512,-2.944462299346924,3.7523107528686523,-2.9996533762950004,1789282074523599802,odom,-0.9700891239999692
1.5408010989995091,-2.9444689750671387,3.752272605895996,-2.999908993690542,1789282074583642899,odom,-0.9119455179998113
1.5967774129994723,-2.944507360458374,3.752323627471924,-2.9998714284512147,1789282074637073933,odom,-0.8559692039998481
1.659088466999492,-2.9445078372955322,3.7523629665374756,-2.999751805700743,1789282074683723389,odom,-0.7936581499998283
1.7167007859998193,-2.9444377422332764,3.752309799194336,-2.999757257407822,1789282074751973330,odom,-0.736045830999501
1.7782980599995426,-2.9444024562835693,3.7522802352905273,-2.999752143410191,1789282074804313837,odom,-0.6744485569997778
1.8514680620000945,-2.9443702697753906,3.752351999282837,-2.9999906167598724,1789282074870374857,odom,-0.6012785549992259
1.906872610999926,-2.9444029331207275,3.7523305416107178,-2.999713021087811,1789282074943644225,odom,-0.5458740059993943
1.9576461349997771,-2.944399356842041,3.7522292137145996,-2.999725477552798,1789282075003730236,odom,-0.49510048199954326
2.009733946999404,-2.9444665908813477,3.752230644226074,-2.9999405227463694,1789282075050221859,odom,-0.4430126699999164
2.06536745899939,-2.9444751739501953,3.7522647380828857,-2.999968621203756,1789282075096863686,odom,-0.3873791579999306
2.126230863999808,-2.944460153579712,3.752310037612915,-2.9996929696820622,1789282075155218064,odom,-0.3265157529995122
2.190266311999949,-2.944453239440918,3.75225830078125,-2.999890301796694,1789282075222176253,odom,-0.2624803049993716
2.255992225999762,-2.944478988647461,3.7522029876708984,-3.000183534823794,1789282075300020396,odom,-0.19675439099955838
2.311871140999756,-2.944532871246338,3.75223708152771,-3.0000819251611484,1789282075353563010,odom,-0.14087547599956451
2.3688355099993714,-2.944477081298828,3.752255916595459,-2.9999715100041353,1789282075413829981,odom,-0.08391110699994897
2.4193700679998074,-2.944424867630005,3.7521986961364746,-2.9999746301444907,1789282075450118004,odom,-0.033376548999513034
2.4732790649995877,-2.9444949626922607,3.752143383026123,-3.00009984045868,1789282075510837017,odom,0.020532448000267323
2.5329340749995026,-2.9445135593414307,3.7521812915802,-3.0000886069814903,1789282075557691513,odom,0.08018745800018223
2.587898445999599,-2.9444684982299805,3.752229928970337,-2.9998537170291484,1789282075630187451,odom,0.13515182900027867
2.6411052149996976,-2.944429874420166,3.752187490463257,-2.9998989120468207,1789282075687357127,odom,0.18835859800037724
2.6929379909997806,-2.9444339275360107,3.7521610260009766,-3.000189377018338,1789282075735284983,odom,0.2401913740004602
2.744437172999824,-2.944498062133789,3.7521920204162598,-3.0001763018394483,1789282075790261685,odom,0.2916905560005034
2.797741796000082,-2.9444804191589355,3.752237558364868,-3.0001524106540396,1789282075836878239,odom,0.3449951790007617
2.8537063099993247,-2.944509506225586,3.7521820068359375,-3.0001307743571823,1789282075897110878,odom,0.40095969300000434
2.906402208000145,-2.94447922706604,3.752164125442505,-3.000217976955455,1789282075944932877,odom,0.45365559100082464
2.9762970129995665,-2.9444727897644043,3.752199411392212,-3.0002897636148447,1789282075990246951,odom,0.5235503960002461
3.041965015999267,-2.944467782974243,3.7522623538970947,-3.0001137740295007,1789282076067375361,odom,0.5892183989999467
3.1137375869993775,-2.944505214691162,3.752197027206421,-3.000104790551449,1789282076126887022,odom,0.6609909700000571
3.1726011619994097,-2.9445419311523438,3.7521612644195557,-3.0003584165954056,1789282076207876622,odom,0.7198545450000893
3.2335504929997114,-2.9445528984069824,3.7522170543670654,-3.0003516515445288,1789282076260285078,odom,0.780803876000391
3.292293109999264,-2.9444751739501953,3.7522544860839844,-3.00013058538681,1789282076332454382,odom,0.8395464929999434
3.3492076940001425,-2.944472312927246,3.752248764038086,-3.0001784538428775,1789282076363364636,odom,0.8964610770008221
3.4035090099996523,-2.944450855255127,3.752223014831543,-3.000295009207631,1789282076410356938,odom,0.9507623930003319
3.471779432999938,-2.9444634914398193,3.75227427482605,-3.0002807875823483,1789282076490070521,odom,1.0190328160006175
3.542702611000095,-2.9444358348846436,3.752335548400879,-3.0001012041625104,1789282076550196825,odom,1.0899559940007748
3.5958905379993666,-2.9444212913513184,3.7522644996643066,-3.000472784204521,1789282076626842200,odom,1.1431439210000462
3.6471160349992715,-2.944432258605957,3.7522706985473633,-3.000565770318538,1789282076680071293,odom,1.194369417999951
3.700597588999699,-2.94445538520813,3.7523436546325684,-3.000516173314564,1789282076733461081,odom,1.2478509720003785
3.760419578999972,-2.9444336891174316,3.7523272037506104,-3.000473875376714,1789282076793321310,odom,1.3076729620006518
3.81650777699997,-2.9444260597229004,3.7522685527801514,-3.0005406457889463,1789282076860079705,odom,1.3637611600006494
3.8881351989994073,-2.944436550140381,3.7522637844085693,-3.000787114912962,1789282076901281058,odom,1.435388582000087
3.939234714000122,-2.944446086883545,3.752373456954956,-3.0007760673436032,1789282076967245280,odom,1.4864880970008016
3.9946308319995296,-2.9443979263305664,3.7523162364959717,-3.000624428231561,1789282077026804148,odom,1.5418842150002092
4.052549916999851,-2.9443907737731934,3.7522621154785156,-3.0007727276143776,1789282077089973866,odom,1.5998033000005307
4.110581672999615,-2.944415330886841,3.7522735595703125,-3.00092724255626,1789282077136961399,odom,1.6578350560002946
4.16954659699968,-2.9444284439086914,3.7523632049560547,-3.000738295187971,1789282077210073649,odom,1.71679998000036
4.222782049999296,-2.9443440437316895,3.752330780029297,-3.000684381519559,1789282077256845414,odom,1.7700354329999755
4.284682028000134,-2.9443016052246094,3.752260684967041,-3.0008590200821845,1789282077323428570,odom,1.8319354110008135
