t_s,utc,source_stamp_s,receipt_age_s,x_m,y_m,z_m,yaw_rad,source,frame,raw_frame
0.006854842000393546,2026-09-13T12:48:06.701736+00:00,1789303686.622648,0.07908797264099121,-5.645453580752903e-05,0.00012735473233540202,0.3172610831625371,-0.004033582533415511,control_pose,robot_origin,robot_origin
0.06984177400045155,2026-09-13T12:48:06.764720+00:00,1789303686.71625,0.04847002029418945,-3.7826183574413225e-05,0.00015268244793433894,0.3172914981842041,-0.004086449107352042,control_pose,robot_origin,robot_origin
0.10362422000071092,2026-09-13T12:48:06.798516+00:00,1789303686.6910288,0.10748720169067383,-5.870381081400575e-05,0.00013868376549733188,0.3172804547339597,-0.004073726564201327,control_pose,robot_origin,robot_origin
0.1378769220009417,2026-09-13T12:48:06.832759+00:00,1789303686.793019,0.03973984718322754,-3.620087588792617e-05,9.352603314322243e-05,0.3172856271266937,-0.004151992747859711,control_pose,robot_origin,robot_origin
0.1647484599998279,2026-09-13T12:48:06.859632+00:00,1789303686.7621696,0.09746241569519043,-3.6854000402960044e-05,0.00011729784265533913,0.3172879863917246,-0.0041256526541998025,control_pose,robot_origin,robot_origin
0.19340275099966675,2026-09-13T12:48:06.888285+00:00,1789303686.849985,0.0383000373840332,-5.379922227536694e-05,4.7253219711521915e-05,0.31726205348968506,-0.004172053612894123,control_pose,robot_origin,robot_origin
0.22783818000061729,2026-09-13T12:48:06.922721+00:00,1789303686.8313963,0.0913245677947998,-4.8056662718988196e-05,6.235261491120937e-05,0.3172697458609738,-0.004165507544876758,control_pose,robot_origin,robot_origin
0.24913815500076453,2026-09-13T12:48:06.943787+00:00,1789303686.9096255,0.03416156768798828,-5.0950378590617316e-05,6.6234802842322e-05,0.31727972626686096,-0.004016737846291205,control_pose,robot_origin,robot_origin
0.2831767059997219,2026-09-13T12:48:06.978027+00:00,1789303686.9033093,0.07471776008605957,-5.22758450895619e-05,6.313158618515166e-05,0.31727763088876537,-0.004036334553694155,control_pose,robot_origin,robot_origin
0.31856564200097637,2026-09-13T12:48:07.013456+00:00,1789303686.96283,0.05062603950500488,-2.6155546375676117e-06,9.357220010474667e-05,0.31730782985687256,-0.004111591499045907,control_pose,robot_origin,robot_origin
0.33240816200122936,2026-09-13T12:48:07.027290+00:00,1789303687.0161636,0.011126518249511719,-4.669292034794722e-06,4.885120475695057e-05,0.3173018991947174,-0.004220635739834513,control_pose,robot_origin,robot_origin
0.3590285549998953,2026-09-13T12:48:07.053912+00:00,1789303686.9825954,0.07131648063659668,1.6994553383091135e-05,9.403456412568523e-05,0.3173011953048712,-0.004163935890476669,control_pose,robot_origin,robot_origin
0.3894105250001303,2026-09-13T12:48:07.084294+00:00,1789303687.0699923,0.014301776885986328,-4.0989192661245786e-05,1.8188889851172334e-05,0.31615307927131653,-0.004106818723797871,control_pose,robot_origin,robot_origin
0.44289311099964834,2026-09-13T12:48:07.137774+00:00,1789303687.0462842,0.09148979187011719,-1.0053766591554562e-05,2.9706905072032744e-05,0.3165553467968099,-0.004165311326323191,control_pose,robot_origin,robot_origin
0.4834791009998298,2026-09-13T12:48:07.178359+00:00,1789303687.139605,0.03875398635864258,-0.00012906252303972993,1.4021459661863755e-05,0.31575170159339905,-0.004169902808787923,control_pose,robot_origin,robot_origin
0.5064079990006576,2026-09-13T12:48:07.201287+00:00,1789303687.1079748,0.09331226348876953,-0.00010643400660348927,8.656613700149272e-06,0.31587704797418553,-0.004130722663983939,control_pose,robot_origin,robot_origin
0.5373262129996874,2026-09-13T12:48:07.232201+00:00,1789303687.1929007,0.03930044174194336,-7.289978079494059e-05,6.762633738467904e-05,0.31568631529808044,-0.004241945940644015,control_pose,robot_origin,robot_origin
0.5686781380009052,2026-09-13T12:48:07.263561+00:00,1789303687.1791575,0.08440351486206055,-8.910757848031755e-05,5.254440696446126e-05,0.3156950522857002,-0.004216095308806412,control_pose,robot_origin,robot_origin
0.6005577619998803,2026-09-13T12:48:07.295393+00:00,1789303687.2461486,0.04924440383911133,-7.852801658472561e-05,5.293736475520766e-05,0.31596919894218445,-0.004171877050968475,control_pose,robot_origin,robot_origin
0.6235877849994722,2026-09-13T12:48:07.318466+00:00,1789303687.2963564,0.022109508514404297,-9.562812063852239e-05,1.8738740751541617e-05,0.31648024916648865,-0.004171778361436049,control_pose,robot_origin,robot_origin
0.6493541950003419,2026-09-13T12:48:07.344235+00:00,1789303687.2491663,0.09506869316101074,-7.363705817668537e-05,5.2020406862656176e-05,0.31601033009768137,-0.004172406490614679,control_pose,robot_origin,robot_origin
0.7076631969994196,2026-09-13T12:48:07.402540+00:00,1789303687.3208895,0.0816504955291748,-0.0001074494027709065,1.877785727082256e-05,0.31673408577309214,-0.004182911322953311,control_pose,robot_origin,robot_origin
0.745511807001094,2026-09-13T12:48:07.440393+00:00,1789303687.3896034,0.050789594650268555,-0.00015847485755990576,4.413897955440842e-05,0.3171713650226593,-0.004185698481213268,control_pose,robot_origin,robot_origin
0.7833067499996105,2026-09-13T12:48:07.478184+00:00,1789303687.4061954,0.07198858261108398,-0.0001502390936963126,4.8491750035677196e-05,0.31720239470519396,-0.004143727311284944,control_pose,robot_origin,robot_origin
0.814134432001083,2026-09-13T12:48:07.509017+00:00,1789303687.4627793,0.04623770713806152,-0.00016414204596240637,4.647488954358971e-05,0.3172530233860016,-0.004385907118755415,control_pose,robot_origin,robot_origin
0.8560908399995242,2026-09-13T12:48:07.550972+00:00,1789303687.4612718,0.08970022201538086,-0.0001658014462915877,4.648449095758453e-05,0.31725202447775946,-0.004379327523940156,control_pose,robot_origin,robot_origin
0.87658979400112,2026-09-13T12:48:07.571268+00:00,1789303687.529403,0.04186511039733887,-0.00010324294031804195,6.59129971035589e-06,0.3172610104084015,-0.004281479485300554,control_pose,robot_origin,robot_origin
0.9036274820009567,2026-09-13T12:48:07.598505+00:00,1789303687.5292053,0.06929969787597656,-0.0001034979205436962,6.718309467548984e-06,0.31726097967155065,-0.004283015856636915,control_pose,robot_origin,robot_origin
0.9434943730011582,2026-09-13T12:48:07.638285+00:00,1789303687.5928502,0.04543471336364746,-0.00016063900176451645,1.7052567585380671e-06,0.31596049666404724,-0.004220485469191287,control_pose,robot_origin,robot_origin
0.9655930980006815,2026-09-13T12:48:07.660469+00:00,1789303687.6447945,0.015674591064453125,-0.00011687857518668428,2.1095965536920043e-05,0.31593185663223267,-0.004317240383359767,control_pose,robot_origin,robot_origin
0.9781482750004216,2026-09-13T12:48:07.673027+00:00,1789303687.5984895,0.07453751564025879,-0.00015726171469154389,4.969299701172787e-06,0.31592612266249237,-0.004234562885173564,control_pose,robot_origin,robot_origin
1.0251831069999753,2026-09-13T12:48:07.720060+00:00,1789303687.698387,0.021673202514648438,-6.537163200062747e-05,-4.926202068480787e-06,0.3167625367641449,-0.004383921009341364,control_pose,robot_origin,robot_origin
1.0569025010008772,2026-09-13T12:48:07.751780+00:00,1789303687.6708055,0.08097457885742188,-0.00012085337639400264,1.4806121907959313e-05,0.3164605857462706,-0.004364691209471947,control_pose,robot_origin,robot_origin
1.1162921190007182,2026-09-13T12:48:07.811124+00:00,1789303687.756586,0.05453801155090332,-9.342607447842432e-05,-9.329674932594793e-05,0.31710365414619446,-0.004339443651298132,control_pose,robot_origin,robot_origin
1.1318347010001162,2026-09-13T12:48:07.826717+00:00,1789303687.7395885,0.0871284008026123,-7.931659736245297e-05,-6.457332566460799e-05,0.31703159101769013,-0.0043612654082546545,control_pose,robot_origin,robot_origin
1.158144650000395,2026-09-13T12:48:07.853027+00:00,1789303687.812919,0.04010820388793945,-0.0002264928551791579,-8.358780326119211e-05,0.3164483308792114,-0.004312405650081794,control_pose,robot_origin,robot_origin
1.1892112850000558,2026-09-13T12:48:07.884096+00:00,1789303687.808847,0.07524895668029785,-0.00022886470485974334,-9.452564437146624e-05,0.3165328397675485,-0.004316499284132288,control_pose,robot_origin,robot_origin
1.2186913660007122,2026-09-13T12:48:07.913575+00:00,1789303687.866109,0.04746603965759277,-0.00018901857467689057,-1.3513433804177168e-05,0.316851407289505,-0.00416678263292971,control_pose,robot_origin,robot_origin
1.2301512390004063,2026-09-13T12:48:07.925034+00:00,1789303687.9195378,0.00549626350402832,-0.00014587948598705655,-1.3686430767570815e-05,0.3171249330043793,-0.004371633584363522,control_pose,robot_origin,robot_origin
1.2639196370000718,2026-09-13T12:48:07.958800+00:00,1789303687.8899834,0.0688166618347168,-0.00017764559827395708,-6.605023015547227e-06,0.3169964395901439,-0.004235000903873948,control_pose,robot_origin,robot_origin
1.3038033600005292,2026-09-13T12:48:07.998690+00:00,1789303687.9729843,0.025705575942993164,-0.00018369997373066685,-6.268743813052244e-05,0.31722214818000793,-0.004466220537845789,control_pose,robot_origin,robot_origin
1.3257753920006508,2026-09-13T12:48:08.020661+00:00,1789303687.9496832,0.07097792625427246,-0.0001703248845876166,-3.7870392036151265e-05,0.31719287720770223,-0.004472367335966079,control_pose,robot_origin,robot_origin
1.344105436000973,2026-09-13T12:48:08.038992+00:00,1789303688.0249307,0.014061212539672852,-0.00026808342516478604,-7.070279020135825e-05,0.31712278723716736,-0.004336267564997209,control_pose,robot_origin,robot_origin
1.3979994940000324,2026-09-13T12:48:08.092884+00:00,1789303688.02921,0.0636739730834961,-0.00027167894829325666,-6.073716785468196e-05,0.316899626285952,-0.004391775113623963,control_pose,robot_origin,robot_origin
1.4100260440009151,2026-09-13T12:48:08.104845+00:00,1789303688.0762117,0.02863335609436035,-0.00027331373021082965,-2.1813428942698448e-05,0.31683114171028137,-0.0044542462594835104,control_pose,robot_origin,robot_origin
1.4406969200008461,2026-09-13T12:48:08.135582+00:00,1789303688.1328743,0.0027077198028564453,-0.0001940146387180266,1.948796869920245e-06,0.3167000710964203,-0.004589900003028646,control_pose,robot_origin,robot_origin
1.4678943260005326,2026-09-13T12:48:08.162764+00:00,1789303688.0930796,0.06968450546264648,-0.00026970907845876713,-1.6814382555937238e-05,0.3165616216456066,-0.004503684693339174,control_pose,robot_origin,robot_origin
