time_s,x_m,y_m,dist_to_goal_m
0.103,0.0002,0.0001,11.3028
0.126,0.0003,0.0,11.3028
0.14,0.0003,0.0001,11.3028
0.18,0.0003,0.0,11.3028
0.196,0.0002,0.0001,11.3028
0.228,0.0003,0.0001,11.3028
0.25,0.0002,0.0001,11.3028
0.285,0.0003,0.0001,11.3028
0.303,0.0003,0.0001,11.3028
0.319,0.0002,-0.0,11.3028
0.382,0.0002,-0.0,11.3028
0.408,0.0002,-0.0,11.3028
0.462,0.0002,0.0,11.3028
0.5,0.0003,0.0001,11.3028
0.522,0.0003,0.0001,11.3028
0.541,0.0003,-0.0,11.3028
0.571,0.0002,-0.0,11.3028
0.613,0.0003,0.0,11.3028
0.634,0.0002,0.0001,11.3028
0.709,0.0002,-0.0,11.3028
0.736,0.0002,0.0,11.3028
0.764,0.0002,0.0001,11.3028
0.777,0.0003,-0.0,11.3028
0.849,0.0002,0.0,11.3028
0.864,0.0002,0.0,11.3028
0.906,0.0002,-0.0,11.3028
0.916,0.0002,0.0001,11.3028
0.948,0.0002,0.0,11.3028
0.978,0.0003,0.0,11.3027
1.011,0.0003,0.0,11.3027
1.054,0.0002,-0.0,11.3028
1.103,0.0002,-0.0,11.3028
1.148,0.0003,0.0001,11.3028
1.184,0.0002,0.0,11.3028
1.191,0.0003,0.0001,11.3028
1.208,0.0003,0.0001,11.3028
1.23,0.0003,-0.0,11.3028
1.285,0.0003,-0.0,11.3028
1.321,0.0002,0.0,11.3028
1.357,0.0003,0.0,11.3028
1.387,0.0004,0.0001,11.3027
1.445,0.0004,0.0001,11.3027
1.499,0.0004,-0.0,11.3026
1.501,0.0004,0.0,11.3026
1.532,0.0004,-0.0,11.3026
1.572,0.0004,-0.0,11.3026
1.602,0.0004,0.0001,11.3027
1.639,0.0004,0.0001,11.3027
1.686,0.0004,0.0,11.3026
1.728,0.0004,0.0,11.3026
1.759,0.0003,-0.0,11.3027
1.784,0.0004,-0.0,11.3026
1.833,0.0004,0.0,11.3027
1.894,0.0004,0.0,11.3027
1.929,0.0004,0.0,11.3026
1.944,0.0004,0.0,11.3027
1.981,0.0004,-0.0,11.3027
1.999,0.0004,0.0,11.3027
2.051,0.0004,0.0001,11.3027
2.069,0.0004,0.0,11.3027
2.117,0.0004,0.0001,11.3026
2.175,0.0004,0.0001,11.3026
2.21,0.0003,-0.0,11.3027
2.233,0.0004,-0.0,11.3026
2.261,0.0004,0.0,11.3027
2.272,0.0003,-0.0,11.3027
2.308,0.0004,0.0001,11.3026
2.327,0.0004,0.0001,11.3026
2.349,0.0004,0.0,11.3026
2.387,0.0004,-0.0,11.3026
2.409,0.0005,0.0,11.3026
2.462,0.0004,-0.0,11.3026
2.48,0.0004,-0.0,11.3026
2.518,0.0004,0.0001,11.3027
2.54,0.0004,0.0001,11.3026
2.572,0.0004,0.0001,11.3026
2.607,0.0004,0.0001,11.3026
2.658,0.0004,-0.0,11.3026
2.693,0.0004,-0.0,11.3026
2.719,0.0005,0.0,11.3026
2.745,0.0005,0.0,11.3026
2.795,0.0005,0.0001,11.3026
2.824,0.0005,0.0001,11.3026
2.883,0.0005,-0.0,11.3026
2.899,0.0005,0.0,11.3026
2.919,0.0004,0.0,11.3026
2.966,0.0004,0.0,11.3026
2.999,0.0005,0.0001,11.3026
3.03,0.0005,0.0001,11.3026
3.038,0.0005,0.0001,11.3026
3.079,0.0005,-0.0,11.3026
3.11,0.0005,0.0,11.3025
3.16,0.0004,-0.0,11.3026
3.18,0.0004,-0.0,11.3026
3.234,0.0004,0.0001,11.3027
3.237,0.0004,0.0001,11.3027
3.265,0.0004,0.0001,11.3026
3.323,0.0004,0.0001,11.3026
3.325,0.0004,-0.0,11.3026
3.342,0.0004,-0.0,11.3026
3.387,0.0004,-0.0,11.3026
3.414,0.0004,0.0001,11.3027
3.453,0.0004,0.0,11.3027
3.468,0.0005,0.0001,11.3026
3.555,0.0005,0.0001,11.3026
3.58,0.0005,0.0,11.3025
3.614,0.0005,0.0001,11.3025
3.658,0.0004,0.0001,11.3026
3.667,0.0005,0.0,11.3026
3.707,0.0005,0.0001,11.3026
3.735,0.0005,0.0001,11.3026
3.783,0.0005,0.0001,11.3026
3.8,0.0005,0.0001,11.3026
3.831,0.0005,0.0,11.3026
3.888,0.0005,0.0,11.3026
3.922,0.0005,0.0002,11.3026
3.956,0.0005,0.0001,11.3026
3.984,0.0005,0.0002,11.3026
4.039,0.0005,0.0002,11.3026
4.07,0.0004,0.0001,11.3026
4.108,0.0005,0.0001,11.3026
4.139,0.0003,0.0001,11.3027
4.152,0.0004,0.0001,11.3027
4.182,0.0004,0.0002,11.3027
4.236,0.0004,0.0002,11.3027
4.248,0.0005,0.0001,11.3026
4.281,0.0004,0.0001,11.3026
4.322,0.0004,0.0001,11.3026
4.361,0.0004,0.0001,11.3026
4.405,0.0004,0.0,11.3026
4.431,0.0005,0.0002,11.3026
4.446,0.0004,0.0001,11.3026
4.475,0.0005,0.0001,11.3026
4.506,0.0005,0.0001,11.3026
4.533,0.0004,0.0,11.3027
4.554,0.0004,0.0001,11.3026
4.577,0.0004,0.0,11.3027
4.615,0.0004,0.0001,11.3027
4.658,0.0004,0.0001,11.3027
4.679,0.0005,0.0001,11.3026
4.719,0.0005,0.0001,11.3026
4.758,0.0005,0.0,11.3026
4.778,0.0005,0.0001,11.3026
4.798,0.0004,0.0,11.3026
4.838,0.0004,0.0,11.3026
4.854,0.0004,0.0001,11.3026
4.882,0.0005,0.0001,11.3026
4.926,0.0005,0.0001,11.3026
4.961,0.0005,0.0001,11.3026
4.995,0.0005,0.0001,11.3026
5.029,0.0004,0.0,11.3026
5.062,0.0004,0.0,11.3026
5.094,0.0005,0.0001,11.3026
5.13,0.0005,0.0001,11.3026
5.145,0.0005,0.0002,11.3026
5.174,0.0005,0.0001,11.3026
5.205,0.0005,0.0002,11.3026
5.237,0.0004,0.0001,11.3026
5.282,0.0004,0.0001,11.3026
5.315,0.0004,0.0001,11.3027
5.339,0.0004,0.0001,11.3027
5.365,0.0004,0.0002,11.3026
5.411,0.0004,0.0001,11.3026
5.419,0.0004,0.0001,11.3027
5.451,0.0004,0.0001,11.3027
5.485,0.0004,0.0001,11.3027
5.531,0.0003,0.0001,11.3027
5.573,0.0003,0.0001,11.3027
5.612,0.0004,0.0002,11.3027
5.626,0.0004,0.0002,11.3027
5.67,0.0004,0.0001,11.3027
5.69,0.0004,0.0001,11.3027
5.718,0.0003,0.0001,11.3028
5.759,0.0003,0.0001,11.3028
5.794,0.0003,0.0002,11.3028
5.835,0.0003,0.0001,11.3028
5.878,0.0003,0.0001,11.3027
5.905,0.0003,0.0001,11.3028
5.942,0.0003,0.0001,11.3027
5.978,0.0003,0.0001,11.3027
5.994,0.0002,0.0001,11.3028
6.023,0.0002,0.0002,11.3029
6.051,0.0002,0.0001,11.3028
6.092,0.0002,0.0001,11.3028
6.109,0.0002,0.0002,11.3028
6.143,0.0003,0.0001,11.3028
6.18,0.0002,0.0001,11.3028
6.214,0.0002,0.0,11.3028
6.253,0.0002,0.0,11.3028
6.281,0.0002,0.0001,11.3028
6.31,0.0002,0.0001,11.3028
6.352,0.0003,0.0001,11.3028
6.36,0.0003,0.0001,11.3028
6.39,0.0003,0.0001,11.3028
6.435,0.0002,0.0,11.3028
6.463,0.0002,0.0,11.3028
6.501,0.0002,0.0001,11.3029
6.54,0.0002,0.0001,11.3029
6.583,0.0002,0.0001,11.3029
6.609,0.0002,0.0001,11.3029
6.638,0.0001,0.0,11.3029
6.678,0.0001,0.0,11.3029
6.698,0.0,0.0001,11.303
6.727,0.0001,0.0001,11.303
6.753,0.0,0.0,11.303
6.816,0.0001,0.0001,11.303
6.873,0.0001,0.0,11.3029
6.897,0.0001,0.0001,11.3029
6.939,0.0001,0.0,11.3029
6.956,0.0001,0.0,11.3029
6.991,0.0001,0.0001,11.3029
7.03,0.0001,0.0001,11.3029
7.058,0.0001,0.0001,11.3029
7.09,0.0001,0.0001,11.3029
7.119,0.0001,-0.0,11.3029
7.135,0.0002,0.0,11.3029
7.162,0.0001,-0.0,11.3029
7.2,0.0002,0.0001,11.3028
7.237,0.0002,0.0001,11.3028
7.276,0.0003,0.0001,11.3028
7.303,0.0003,0.0001,11.3028
7.33,0.0003,0.0001,11.3028
7.388,0.0003,0.0,11.3028
7.427,0.0002,0.0001,11.3028
7.445,0.0002,0.0001,11.3028
7.489,0.0003,0.0001,11.3028
7.519,0.0003,0.0001,11.3028
7.546,0.0003,0.0001,11.3027
7.565,0.0003,0.0,11.3027
7.59,0.0003,0.0001,11.3027
7.624,0.0003,0.0001,11.3027
7.663,0.0003,0.0,11.3027
7.67,0.0004,0.0001,11.3027
7.74,0.0003,0.0001,11.3027
7.778,0.0004,0.0,11.3027
7.79,0.0004,0.0001,11.3027
7.822,0.0003,0.0,11.3027
7.865,0.0003,0.0,11.3027
7.867,0.0003,0.0001,11.3027
7.931,0.0003,0.0001,11.3027
7.972,0.0004,0.0001,11.3026
8.003,0.0004,0.0001,11.3026
8.032,0.0004,0.0,11.3026
8.069,0.0004,0.0,11.3026
8.103,0.0003,0.0,11.3027
8.145,0.0003,0.0,11.3027
8.167,0.0004,0.0001,11.3026
8.212,0.0004,0.0001,11.3026
8.244,0.0004,0.0,11.3027
8.266,-0.0,-0.0024,11.3022
8.276,0.0004,0.0,11.3027
8.321,0.002,-0.002,11.3005
