time_s,x_m,y_m,dist_to_goal_m
0.113,0.0001,-0.0001,5.3816
0.12,0.0002,-0.0001,5.3816
0.164,0.0001,-0.0001,5.3816
0.19,0.0002,-0.0001,5.3816
0.209,0.0002,-0.0001,5.3816
0.235,0.0002,-0.0001,5.3815
0.283,0.0002,-0.0001,5.3815
0.31,0.0002,-0.0002,5.3815
0.339,0.0002,-0.0001,5.3816
0.361,0.0002,-0.0001,5.3816
0.375,0.0002,-0.0,5.3815
0.409,0.0002,-0.0,5.3816
0.439,0.0003,-0.0001,5.3815
0.478,0.0003,-0.0001,5.3815
0.509,0.0003,-0.0002,5.3815
0.544,0.0003,-0.0001,5.3815
0.571,0.0003,-0.0001,5.3815
0.599,0.0004,-0.0,5.3814
0.629,0.0003,-0.0,5.3815
0.667,0.0004,-0.0001,5.3814
0.694,0.0004,-0.0,5.3814
0.725,0.0004,-0.0001,5.3814
0.766,0.0004,-0.0001,5.3814
0.793,0.0003,-0.0001,5.3815
0.843,0.0003,-0.0001,5.3815
0.875,0.0004,-0.0,5.3815
0.909,0.0004,-0.0,5.3815
0.94,0.0004,-0.0001,5.3814
0.951,0.0004,-0.0001,5.3814
0.98,0.0004,-0.0001,5.3814
1.005,0.0004,-0.0001,5.3814
1.047,0.0003,-0.0001,5.3814
1.083,0.0003,-0.0,5.3815
1.134,0.0003,-0.0,5.3815
1.157,0.0004,-0.0001,5.3814
1.192,0.0004,-0.0001,5.3814
1.216,0.0003,-0.0001,5.3815
1.266,0.0003,-0.0001,5.3815
1.282,0.0003,-0.0,5.3815
1.303,0.0004,-0.0,5.3814
1.325,0.0003,-0.0,5.3815
1.365,0.0004,-0.0001,5.3814
1.403,0.0004,-0.0001,5.3814
1.46,0.0003,-0.0001,5.3814
1.472,0.0004,-0.0001,5.3814
1.509,0.0003,-0.0,5.3815
1.541,0.0003,-0.0001,5.3815
1.566,0.0004,-0.0,5.3814
1.609,0.0004,-0.0001,5.3814
1.627,0.0004,-0.0,5.3814
1.702,0.0004,-0.0001,5.3813
1.723,0.0004,-0.0,5.3814
1.745,0.0004,-0.0,5.3814
1.77,0.0004,-0.0,5.3814
1.791,0.0004,-0.0001,5.3814
1.825,0.0004,-0.0,5.3814
1.854,0.0004,-0.0001,5.3814
1.905,0.0004,-0.0001,5.3814
1.949,0.0004,-0.0,5.3814
1.965,0.0004,-0.0001,5.3814
1.999,0.0004,-0.0,5.3814
2.022,0.0004,-0.0,5.3814
2.064,0.0005,-0.0001,5.3813
2.114,0.0005,-0.0,5.3813
2.142,0.0004,-0.0,5.3814
2.181,0.0004,-0.0,5.3814
2.246,0.0004,0.0001,5.3814
2.265,0.0004,0.0,5.3814
2.289,0.0005,0.0,5.3814
2.308,0.0005,0.0,5.3814
2.337,0.0005,-0.0,5.3814
2.382,0.0005,-0.0,5.3814
2.401,0.0004,0.0,5.3815
2.426,0.0004,0.0001,5.3815
2.463,0.0004,0.0001,5.3815
2.503,0.0004,0.0,5.3815
2.528,0.0004,0.0,5.3815
2.564,0.0004,-0.0,5.3815
2.606,0.0004,-0.0,5.3814
2.663,0.0003,0.0,5.3815
2.688,0.0003,0.0,5.3815
2.728,0.0004,0.0,5.3815
2.746,0.0004,0.0,5.3815
2.777,0.0004,0.0,5.3815
2.801,0.0004,0.0,5.3815
2.834,0.0003,0.0,5.3815
2.871,0.0003,0.0,5.3815
2.896,0.0003,0.0001,5.3815
2.918,0.0003,0.0001,5.3815
2.947,0.0003,0.0001,5.3815
2.976,0.0003,0.0,5.3815
3.01,0.0003,0.0,5.3815
3.039,0.0003,0.0,5.3816
3.086,0.0003,0.0,5.3815
3.136,0.0003,0.0001,5.3816
3.171,0.0003,0.0001,5.3816
3.21,0.0003,0.0001,5.3816
3.229,0.0003,0.0001,5.3816
3.248,0.0003,0.0,5.3815
3.288,0.0003,0.0,5.3815
3.302,0.0003,0.0001,5.3816
3.332,0.0003,0.0001,5.3816
3.363,0.0003,0.0001,5.3816
3.388,0.0003,0.0,5.3816
3.44,0.0003,0.0001,5.3816
3.476,0.0003,-0.0,5.3815
3.507,0.0003,-0.0,5.3815
3.531,0.0002,0.0,5.3816
3.547,0.0002,0.0,5.3816
3.575,0.0002,0.0,5.3816
3.612,0.0002,0.0,5.3816
3.639,0.0002,0.0,5.3816
3.671,0.0002,-0.0,5.3816
3.716,0.0003,-0.0,5.3815
3.748,0.0002,0.0,5.3816
3.771,0.0003,-0.0,5.3816
3.811,0.0003,0.0001,5.3816
3.846,0.0003,0.0001,5.3816
3.883,0.0003,0.0,5.3815
3.893,0.0004,-0.0,5.3815
3.913,0.0003,0.0,5.3815
3.95,0.0003,0.0,5.3815
3.991,0.0004,0.0,5.3815
4.019,0.0003,0.0001,5.3815
4.075,0.0003,0.0001,5.3815
4.109,0.0004,0.0,5.3815
4.135,0.0004,0.0,5.3815
4.159,0.0003,0.0,5.3815
4.199,0.0003,0.0,5.3815
4.238,0.0002,0.0001,5.3816
4.278,0.0002,0.0001,5.3816
4.302,0.0003,0.0001,5.3816
4.332,0.0003,0.0,5.3816
4.353,0.0003,0.0001,5.3816
4.392,0.0002,0.0,5.3816
4.416,0.0002,-0.0,5.3816
4.439,0.0001,0.0001,5.3817
4.478,0.0001,0.0001,5.3817
4.503,0.0001,0.0001,5.3817
4.535,0.0001,0.0001,5.3817
4.557,0.0001,0.0001,5.3817
4.599,0.0001,0.0001,5.3817
4.634,0.0001,0.0001,5.3817
4.666,0.0001,0.0001,5.3817
4.691,0.0001,0.0001,5.3817
4.733,0.0002,0.0001,5.3817
4.766,0.0002,0.0001,5.3817
4.802,0.0002,0.0001,5.3816
4.836,0.0002,0.0001,5.3816
