time_s,x_m,y_m,dist_to_goal_m
0.234,-0.0001,-0.0,8.9906
0.236,-0.0001,0.0,8.9906
0.238,-0.0001,-0.0001,8.9906
0.276,-0.0001,0.0,8.9906
0.326,-0.0,0.0,8.9905
0.336,-0.0,0.0,8.9906
0.391,-0.0,-0.0001,8.9906
0.404,-0.0,-0.0,8.9906
0.469,-0.0001,-0.0,8.9906
0.509,-0.0,0.0,8.9906
0.512,-0.0,0.0001,8.9905
0.531,-0.0001,0.0001,8.9906
0.562,0.0,0.0,8.9905
0.621,0.0,0.0,8.9905
0.646,0.0,0.0,8.9905
0.703,0.0,0.0,8.9905
0.765,0.0001,0.0001,8.9904
0.811,0.0001,0.0001,8.9904
0.86,0.0001,0.0,8.9904
0.892,0.0001,0.0,8.9904
0.934,0.0001,0.0001,8.9904
0.96,0.0001,0.0001,8.9904
0.996,0.0001,0.0001,8.9904
1.07,0.0001,0.0001,8.9904
1.115,0.0001,0.0001,8.9904
1.154,0.0002,0.0001,8.9904
1.194,0.0002,0.0001,8.9903
1.239,0.0001,0.0001,8.9904
1.284,0.0002,0.0,8.9903
1.345,0.0002,0.0001,8.9903
1.413,0.0002,0.0,8.9903
1.431,0.0003,0.0001,8.9902
1.458,0.0003,0.0,8.9902
1.495,0.0003,0.0,8.9902
1.556,0.0004,0.0,8.9902
1.576,0.0004,0.0,8.9902
1.594,0.0004,0.0001,8.9902
1.624,0.0004,0.0001,8.9901
1.682,0.0004,0.0001,8.9902
1.716,0.0004,0.0,8.9901
1.834,0.0004,0.0,8.9901
1.838,0.0004,0.0001,8.9901
1.849,0.0004,0.0,8.9902
1.899,0.0005,0.0001,8.9901
1.945,0.0004,0.0001,8.9901
1.984,0.0005,0.0001,8.99
2.019,0.0005,0.0001,8.99
2.056,0.0006,0.0001,8.99
2.1,0.0005,0.0001,8.99
2.145,0.0006,0.0001,8.9899
2.154,0.0006,0.0001,8.99
2.18,0.0006,0.0,8.99
2.228,0.0006,0.0001,8.99
2.272,0.0006,0.0001,8.99
2.343,0.0006,0.0001,8.99
2.365,0.0006,0.0001,8.9899
2.418,0.0006,0.0001,8.9899
2.438,0.0007,0.0001,8.9899
2.462,0.0007,0.0001,8.9899
2.513,0.0007,0.0001,8.9899
2.543,0.0007,0.0001,8.9898
2.579,0.0007,0.0001,8.9899
2.6,0.0008,0.0001,8.9898
2.643,0.0008,0.0001,8.9898
2.654,0.0008,0.0,8.9898
2.738,0.0008,0.0,8.9898
2.779,0.0008,0.0001,8.9898
2.859,0.0008,0.0001,8.9898
2.864,0.0008,0.0001,8.9898
2.912,0.0008,0.0001,8.9898
2.953,0.0008,0.0001,8.9898
2.959,0.0008,0.0001,8.9897
2.993,0.0008,0.0001,8.9897
3.06,0.0009,0.0002,8.9897
3.082,0.0009,0.0002,8.9897
