time_s,x_m,y_m,dist_to_goal_m
0.144,-0.0002,0.0,5.382
0.15,-0.0002,0.0,5.382
0.17,-0.0002,0.0,5.3819
0.184,-0.0002,0.0,5.382
0.224,-0.0002,0.0,5.382
0.231,-0.0002,0.0,5.382
0.26,-0.0002,0.0001,5.382
0.287,-0.0002,0.0,5.382
0.33,-0.0002,0.0,5.382
0.358,-0.0002,0.0,5.382
0.365,-0.0002,0.0,5.382
0.418,-0.0002,0.0,5.382
0.452,-0.0002,0.0,5.382
0.482,-0.0001,0.0001,5.382
0.493,-0.0002,0.0001,5.382
0.532,-0.0001,0.0001,5.3819
0.581,-0.0001,0.0001,5.3819
0.606,-0.0001,0.0,5.3819
0.646,-0.0001,0.0,5.3819
0.683,-0.0001,0.0001,5.3819
0.742,-0.0001,0.0001,5.3819
0.764,-0.0,0.0001,5.3819
0.793,-0.0,0.0001,5.3819
0.847,-0.0001,0.0,5.3819
0.853,-0.0001,0.0,5.3819
0.898,-0.0001,0.0001,5.3819
0.924,-0.0001,0.0001,5.3819
0.958,-0.0,0.0001,5.3819
1.009,-0.0,0.0001,5.3819
1.053,-0.0,0.0,5.3818
1.08,-0.0,0.0,5.3818
1.109,-0.0,0.0,5.3818
1.146,-0.0,0.0,5.3818
1.173,-0.0,0.0001,5.3819
1.206,-0.0,0.0001,5.3819
1.253,-0.0,0.0001,5.3819
1.269,-0.0,0.0001,5.3819
1.303,-0.0001,0.0001,5.3819
1.341,-0.0001,0.0001,5.3819
1.377,-0.0001,0.0002,5.3819
1.426,-0.0001,0.0002,5.382
1.45,-0.0,0.0002,5.3819
1.479,-0.0001,0.0002,5.3819
1.511,-0.0,0.0001,5.3819
1.561,-0.0,0.0001,5.3819
1.618,-0.0,0.0002,5.3819
1.747,-0.0,0.0002,5.3819
1.774,-0.0,0.0002,5.3819
1.84,-0.0,0.0001,5.3819
1.919,-0.0,0.0002,5.3819
2.029,-0.0,0.0002,5.3819
2.049,-0.0,0.0002,5.3819
2.132,-0.0,0.0002,5.3819
2.223,-0.0,0.0002,5.3819
2.358,-0.0001,0.0002,5.3819
2.416,-0.0001,0.0001,5.3819
2.537,-0.0001,0.0002,5.3819
2.56,-0.0001,0.0001,5.3819
2.624,-0.0001,0.0001,5.3819
2.676,-0.0001,0.0001,5.3819
2.709,-0.0001,0.0001,5.3819
2.772,-0.0001,0.0001,5.3819
2.841,0.0,0.0,5.3818
2.873,0.0,0.0,5.3818
2.898,0.0,-0.0,5.3818
3.017,-0.0,-0.0,5.3818
3.067,0.0,-0.0,5.3818
3.081,-0.0,0.0,5.3818
3.248,-0.0,-0.0,5.3818
3.313,-0.0,-0.0001,5.3818
3.351,-0.0001,0.0001,5.3819
3.404,-0.0001,0.0,5.3818
3.429,-0.0,-0.0001,5.3818
3.432,-0.0,0.0,5.3818
3.54,-0.0,-0.0,5.3818
3.584,0.0001,0.0,5.3817
3.622,0.0001,0.0,5.3817
3.637,0.0,-0.0,5.3817
3.658,0.0,-0.0,5.3818
3.692,0.0,-0.0,5.3817
3.793,-0.0,0.0,5.3818
3.888,-0.0,-0.0,5.3818
3.989,0.0,-0.0,5.3818
4.08,-0.0,-0.0001,5.3818
4.157,-0.0001,-0.0,5.3818
4.234,-0.0001,-0.0,5.3818
4.292,-0.0,-0.0001,5.3818
4.319,-0.0001,0.0,5.3819
4.403,-0.0001,0.0,5.3819
4.446,-0.0001,0.0001,5.3819
4.47,-0.0,-0.0001,5.3818
4.492,-0.0,-0.0001,5.3818
4.552,-0.0,-0.0,5.3818
4.618,-0.0001,-0.0001,5.3818
4.676,-0.0001,-0.0001,5.3819
4.746,-0.0001,-0.0,5.3819
4.788,-0.0,-0.0,5.3818
5.01,-0.0001,-0.0001,5.3818
5.017,-0.0002,-0.0,5.3819
5.054,-0.0001,-0.0,5.3818
5.058,-0.0001,-0.0,5.3818
5.07,-0.0001,-0.0001,5.3818
5.108,-0.0001,-0.0001,5.3818
5.132,-0.0001,-0.0001,5.3819
5.145,-0.0001,-0.0001,5.3819
5.185,-0.0001,-0.0,5.3819
5.199,-0.0001,-0.0,5.3819
5.227,-0.0,-0.0001,5.3818
5.265,-0.0,-0.0,5.3818
5.287,-0.0001,-0.0001,5.3818
5.329,-0.0001,-0.0001,5.3818
5.358,-0.0001,0.0,5.3819
5.386,-0.0,0.0,5.3818
5.4,-0.0001,0.0,5.3819
5.436,-0.0,-0.0,5.3818
5.465,-0.0,0.0,5.3818
5.506,-0.0,-0.0,5.3818
5.543,-0.0,-0.0,5.3818
5.58,-0.0,0.0,5.3818
5.615,-0.0,0.0,5.3818
5.645,-0.0,-0.0,5.3818
5.673,-0.0,-0.0,5.3818
5.705,-0.0,-0.0001,5.3818
5.729,-0.0001,-0.0,5.3818
5.742,-0.0,-0.0,5.3818
5.775,-0.0,0.0,5.3818
5.821,-0.0,-0.0,5.3818
5.845,-0.0,0.0001,5.3818
5.884,-0.0,0.0001,5.3819
5.902,-0.0,0.0,5.3818
5.954,0.0,0.0,5.3818
5.979,-0.0,0.0,5.3818
6.038,-0.0,0.0,5.3818
6.043,-0.0,0.0001,5.3818
6.064,0.0,0.0,5.3818
6.099,0.0,0.0001,5.3818
6.124,0.0,-0.0,5.3818
6.166,0.0,-0.0,5.3818
6.195,0.0,-0.0,5.3818
6.219,0.0001,0.0,5.3817
6.243,0.0,-0.0,5.3818
6.275,0.0001,0.0,5.3817
6.325,0.0001,0.0,5.3817
6.348,0.0001,0.0,5.3817
6.387,0.0001,0.0,5.3817
6.416,0.0,0.0,5.3817
6.43,-0.0,0.0,5.3818
6.449,0.0,0.0,5.3818
6.487,-0.0001,0.0001,5.3819
6.527,-0.0,0.0001,5.3818
6.56,-0.0001,0.0,5.3818
6.588,-0.0001,0.0,5.3818
6.619,-0.0001,-0.0,5.3818
6.642,-0.0001,-0.0,5.3819
6.67,-0.0001,-0.0,5.3819
6.706,-0.0001,0.0001,5.3819
6.733,-0.0002,0.0,5.3819
6.768,-0.0001,0.0001,5.3819
6.799,-0.0001,0.0001,5.3819
6.838,-0.0001,-0.0,5.3819
6.867,-0.0001,-0.0,5.3819
6.884,-0.0001,0.0,5.3819
6.907,-0.0001,0.0001,5.3819
6.943,-0.0001,0.0,5.3819
6.98,-0.0001,0.0001,5.3819
7.009,-0.0001,0.0001,5.3819
7.039,-0.0001,0.0,5.3819
7.091,-0.0001,0.0,5.3819
7.114,-0.0001,0.0,5.3819
7.13,-0.0001,0.0001,5.3819
7.155,-0.0001,0.0,5.3819
7.187,-0.0001,0.0001,5.3819
7.223,-0.0001,0.0001,5.3819
7.254,-0.0001,0.0,5.3819
7.299,-0.0001,0.0,5.3819
7.332,-0.0001,0.0001,5.3819
7.362,-0.0001,0.0001,5.3819
7.406,-0.0001,0.0001,5.3819
7.435,-0.0001,0.0002,5.382
7.473,-0.0001,0.0001,5.3819
7.5,-0.0001,0.0001,5.3819
7.537,-0.0001,0.0001,5.3819
7.566,-0.0001,0.0001,5.3819
7.591,-0.0002,0.0001,5.382
7.632,-0.0002,0.0001,5.382
7.663,-0.0002,0.0001,5.382
7.704,-0.0002,0.0001,5.382
