time_s,x_m,y_m,dist_to_goal_m
0.095,-0.0001,-0.0001,3.4152
0.126,-0.0001,-0.0001,3.4152
0.174,-0.0001,-0.0001,3.4151
0.183,-0.0001,-0.0001,3.4151
0.218,-0.0001,-0.0001,3.4151
0.252,-0.0001,-0.0001,3.4151
0.287,-0.0002,-0.0001,3.4152
0.335,-0.0002,-0.0001,3.4152
0.379,-0.0001,-0.0001,3.4152
0.411,-0.0001,-0.0002,3.4152
0.451,-0.0001,-0.0001,3.4151
0.482,-0.0001,-0.0001,3.4151
0.507,-0.0001,-0.0001,3.4152
0.53,-0.0001,-0.0001,3.4152
0.581,-0.0001,-0.0002,3.4151
0.602,-0.0001,-0.0002,3.4151
0.654,-0.0,-0.0001,3.4151
0.689,-0.0,-0.0001,3.4151
0.712,-0.0001,-0.0001,3.4151
0.745,-0.0001,-0.0001,3.4151
0.764,-0.0001,-0.0002,3.4152
0.796,-0.0001,-0.0002,3.4152
0.809,-0.0001,-0.0002,3.4152
0.882,-0.0001,-0.0002,3.4151
0.914,-0.0,-0.0001,3.4151
0.951,-0.0,-0.0001,3.4151
0.979,-0.0001,-0.0001,3.4151
1.015,-0.0,-0.0001,3.4151
1.037,-0.0001,-0.0001,3.4151
1.083,-0.0,-0.0001,3.4151
1.112,-0.0,-0.0001,3.4151
1.151,-0.0,-0.0001,3.4151
1.167,-0.0001,-0.0001,3.4151
1.193,-0.0002,-0.0001,3.4152
1.249,-0.0001,-0.0001,3.4151
1.283,-0.0001,-0.0001,3.4152
1.304,-0.0001,-0.0001,3.4152
1.318,-0.0002,-0.0001,3.4152
1.374,-0.0001,-0.0001,3.4152
1.413,-0.0002,-0.0001,3.4152
1.452,-0.0002,-0.0001,3.4152
1.478,-0.0002,-0.0001,3.4152
1.513,-0.0002,-0.0001,3.4152
1.564,-0.0002,-0.0001,3.4152
1.601,-0.0002,-0.0001,3.4152
1.626,-0.0002,-0.0001,3.4152
1.648,-0.0002,-0.0001,3.4152
1.688,-0.0002,-0.0001,3.4152
1.732,-0.0002,-0.0001,3.4152
1.761,-0.0002,-0.0002,3.4152
1.802,-0.0002,-0.0002,3.4152
1.836,-0.0002,-0.0001,3.4152
1.873,-0.0002,-0.0001,3.4152
1.903,-0.0003,-0.0001,3.4153
1.946,-0.0003,-0.0001,3.4153
1.969,-0.0003,-0.0001,3.4153
2.007,-0.0003,-0.0001,3.4153
2.04,-0.0003,-0.0001,3.4153
2.108,-0.0003,-0.0001,3.4153
2.154,-0.0003,-0.0001,3.4153
2.166,-0.0003,-0.0001,3.4153
2.205,-0.0003,-0.0002,3.4154
2.222,-0.0003,-0.0002,3.4154
2.266,-0.0003,-0.0001,3.4153
2.286,-0.0003,-0.0001,3.4153
2.328,-0.0004,-0.0001,3.4154
2.355,-0.0003,-0.0001,3.4153
2.382,-0.0004,-0.0002,3.4154
2.43,-0.0004,-0.0002,3.4154
2.467,-0.0004,-0.0001,3.4154
2.496,-0.0004,-0.0001,3.4154
2.527,-0.0004,-0.0001,3.4154
2.554,-0.0004,-0.0001,3.4154
2.586,-0.0005,-0.0001,3.4155
2.629,-0.0004,-0.0002,3.4155
2.64,-0.0005,-0.0002,3.4155
2.665,-0.0005,-0.0001,3.4155
2.694,-0.0004,-0.0002,3.4155
2.732,-0.0005,-0.0001,3.4155
2.768,-0.0005,-0.0001,3.4155
2.789,-0.0005,-0.0002,3.4155
2.828,-0.0005,-0.0002,3.4155
2.834,-0.0005,-0.0002,3.4155
2.877,-0.0004,-0.0002,3.4155
2.894,-0.0004,-0.0002,3.4155
2.932,-0.0004,-0.0001,3.4154
2.955,-0.0004,-0.0001,3.4154
2.986,-0.0004,-0.0002,3.4155
3.036,-0.0004,-0.0002,3.4155
3.054,-0.0005,-0.0002,3.4155
3.082,-0.0004,-0.0002,3.4155
3.103,-0.0005,-0.0002,3.4155
3.138,-0.0004,-0.0001,3.4154
3.177,-0.0004,-0.0001,3.4154
3.213,-0.0004,-0.0001,3.4154
3.247,-0.0004,-0.0001,3.4154
3.259,-0.0005,-0.0002,3.4155
3.296,-0.0005,-0.0003,3.4155
3.331,-0.0004,-0.0003,3.4155
3.367,-0.0005,-0.0002,3.4155
3.4,-0.0005,-0.0002,3.4155
3.44,-0.0004,-0.0002,3.4155
3.46,-0.0004,-0.0001,3.4154
3.488,-0.0004,-0.0003,3.4155
3.542,-0.0004,-0.0003,3.4155
3.589,-0.0004,-0.0002,3.4154
3.627,-0.0004,-0.0002,3.4154
3.662,-0.0003,-0.0001,3.4154
3.687,-0.0003,-0.0002,3.4154
3.712,-0.0003,-0.0002,3.4154
3.74,-0.0003,-0.0002,3.4154
3.779,-0.0003,-0.0002,3.4153
3.799,-0.0003,-0.0001,3.4153
3.831,-0.0003,-0.0002,3.4153
3.891,-0.0003,-0.0001,3.4153
3.914,-0.0004,-0.0002,3.4154
3.942,-0.0003,-0.0002,3.4154
3.978,-0.0004,-0.0002,3.4154
4.014,-0.0003,-0.0002,3.4154
4.028,-0.0003,-0.0002,3.4154
4.052,-0.0003,-0.0001,3.4153
4.107,-0.0003,-0.0001,3.4153
4.152,-0.0003,-0.0001,3.4153
4.206,-0.0003,-0.0001,3.4153
4.226,-0.0003,-0.0002,3.4154
4.252,-0.0003,-0.0002,3.4154
4.282,-0.0004,-0.0001,3.4154
4.29,-0.0004,-0.0001,3.4154
4.334,-0.0003,-0.0001,3.4154
4.38,-0.0004,-0.0001,3.4154
4.422,-0.0005,-0.0002,3.4155
4.44,-0.0005,-0.0002,3.4155
4.456,-0.0005,-0.0002,3.4155
4.495,-0.0004,-0.0001,3.4154
4.58,-0.0005,-0.0001,3.4155
4.614,-0.0005,-0.0002,3.4155
4.651,-0.0005,-0.0001,3.4155
4.676,-0.0005,-0.0002,3.4155
4.697,-0.0005,-0.0002,3.4155
4.725,-0.0005,-0.0002,3.4155
4.74,-0.0004,-0.0001,3.4154
4.78,-0.0004,-0.0002,3.4155
4.796,-0.0004,-0.0001,3.4154
4.828,-0.0004,-0.0002,3.4155
4.902,-0.0004,-0.0002,3.4155
4.935,-0.0004,-0.0002,3.4155
4.962,-0.0004,-0.0002,3.4155
4.99,-0.0005,-0.0001,3.4155
5.013,-0.0005,-0.0001,3.4155
5.047,-0.0004,-0.0002,3.4155
5.073,-0.0005,-0.0002,3.4155
5.1,-0.0004,-0.0003,3.4154
5.137,-0.0003,-0.0003,3.4154
5.184,-0.0004,-0.0001,3.4154
5.229,-0.0004,-0.0001,3.4154
5.262,-0.0004,-0.0002,3.4154
5.288,-0.0004,-0.0002,3.4154
5.316,-0.0003,-0.0002,3.4154
5.35,-0.0003,-0.0002,3.4154
5.376,-0.0003,-0.0002,3.4153
5.423,-0.0003,-0.0001,3.4153
5.425,-0.0003,-0.0001,3.4153
5.452,-0.0003,-0.0002,3.4153
5.496,-0.0003,-0.0001,3.4153
5.537,-0.0003,-0.0002,3.4154
5.571,-0.0003,-0.0002,3.4154
5.617,-0.0002,-0.0001,3.4153
5.636,-0.0002,-0.0001,3.4153
5.671,-0.0002,-0.0001,3.4153
5.704,-0.0003,-0.0002,3.4153
5.72,-0.0002,-0.0001,3.4153
5.757,-0.0003,-0.0002,3.4154
5.786,-0.0003,-0.0002,3.4154
5.827,-0.0003,-0.0001,3.4153
5.86,-0.0003,-0.0001,3.4153
5.893,-0.0002,-0.0001,3.4153
5.923,-0.0002,-0.0001,3.4153
5.938,-0.0003,-0.0002,3.4153
5.976,-0.0003,-0.0002,3.4153
6.004,-0.0002,-0.0002,3.4153
6.021,-0.0002,-0.0002,3.4153
6.052,-0.0002,-0.0002,3.4153
6.077,-0.0003,-0.0001,3.4153
6.125,-0.0003,-0.0001,3.4153
6.169,-0.0003,-0.0002,3.4154
6.201,-0.0003,-0.0002,3.4154
6.224,-0.0003,-0.0002,3.4154
6.282,-0.0003,-0.0002,3.4154
6.315,-0.0003,-0.0001,3.4153
6.338,-0.0003,-0.0002,3.4153
6.373,-0.0003,-0.0002,3.4153
6.406,-0.0003,-0.0001,3.4153
6.427,-0.0003,-0.0002,3.4154
6.473,-0.0003,-0.0002,3.4154
6.517,-0.0002,-0.0002,3.4153
6.553,-0.0002,-0.0002,3.4153
6.608,-0.0002,-0.0002,3.4153
6.633,-0.0002,-0.0002,3.4153
6.651,-0.0003,-0.0002,3.4154
6.68,-0.0003,-0.0002,3.4153
6.701,-0.0003,-0.0002,3.4153
6.762,-0.0002,-0.0002,3.4153
6.803,-0.0002,-0.0001,3.4153
6.828,-0.0002,-0.0001,3.4153
6.856,-0.0002,-0.0001,3.4153
6.893,-0.0002,-0.0001,3.4153
6.94,-0.0002,-0.0002,3.4152
6.961,-0.0002,-0.0002,3.4152
6.975,-0.0002,-0.0001,3.4152
7.008,-0.0002,-0.0001,3.4152
7.034,-0.0002,-0.0001,3.4152
7.068,-0.0002,-0.0002,3.4153
7.105,-0.0002,-0.0002,3.4153
7.136,-0.0001,-0.0002,3.4152
7.176,-0.0002,-0.0002,3.4152
7.207,-0.0001,-0.0002,3.4152
7.252,-0.0001,-0.0002,3.4152
7.262,-0.0001,-0.0002,3.4152
7.286,-0.0002,-0.0002,3.4153
7.321,-0.0002,-0.0002,3.4152
7.356,-0.0002,-0.0002,3.4153
7.385,-0.0002,-0.0002,3.4153
7.425,-0.0002,-0.0002,3.4152
7.462,-0.0002,-0.0002,3.4152
7.496,-0.0002,-0.0002,3.4152
7.532,-0.0002,-0.0002,3.4152
7.546,-0.0002,-0.0002,3.4153
7.572,-0.0002,-0.0003,3.4153
7.606,-0.0002,-0.0002,3.4153
7.623,-0.0002,-0.0003,3.4153
7.673,-0.0002,-0.0003,3.4153
7.702,-0.0002,-0.0002,3.4153
7.733,-0.0002,-0.0002,3.4153
7.769,-0.0002,-0.0003,3.4153
7.804,-0.0002,-0.0002,3.4153
7.831,-0.0002,-0.0003,3.4153
7.851,-0.0002,-0.0003,3.4153
