t_s,utc,distance_m,bearing_rad
0.041003237000040826,2026-09-13T14:53:56.292151+00:00,16.128543853759766,-0.25575289130210876
0.12247803199988994,2026-09-13T14:53:56.373609+00:00,16.12848472595215,-0.2557782828807831
0.1850615519999792,2026-09-13T14:53:56.436213+00:00,16.128538131713867,-0.256025493144989
0.24780388699991818,2026-09-13T14:53:56.498940+00:00,16.128528594970703,-0.2556918263435364
0.3174552670000139,2026-09-13T14:53:56.568598+00:00,16.12849998474121,-0.2558216452598572
0.37157736699987254,2026-09-13T14:53:56.622466+00:00,16.12849998474121,-0.25612518191337585
0.44377884400000767,2026-09-13T14:53:56.694909+00:00,16.128524780273438,-0.25596746802330017
0.539109617999884,2026-09-13T14:53:56.790243+00:00,16.12852668762207,-0.25572729110717773
0.6155011809998996,2026-09-13T14:53:56.866642+00:00,16.12854766845703,-0.2559744715690613
0.6956989289999456,2026-09-13T14:53:56.946835+00:00,16.128599166870117,-0.2560162842273712
0.7499021480000465,2026-09-13T14:53:57.001033+00:00,16.128582000732422,-0.2556377649307251
0.8323600449998594,2026-09-13T14:53:57.083497+00:00,16.128576278686523,-0.25582873821258545
0.8825644119999652,2026-09-13T14:53:57.133699+00:00,16.128631591796875,-0.2559688091278076
0.9804459269998915,2026-09-13T14:53:57.231579+00:00,16.12862777709961,-0.2556256949901581
1.033508387999973,2026-09-13T14:53:57.284642+00:00,16.12862205505371,-0.25569862127304077
1.1112585379999018,2026-09-13T14:53:57.362397+00:00,16.128644943237305,-0.2559559643268585
1.154330403999893,2026-09-13T14:53:57.405458+00:00,16.128650665283203,-0.25580427050590515
1.2300578790000145,2026-09-13T14:53:57.481192+00:00,16.128610610961914,-0.2556705176830292
1.3364418389999173,2026-09-13T14:53:57.587583+00:00,16.128671646118164,-0.25602397322654724
1.36729509099996,2026-09-13T14:53:57.618438+00:00,16.128692626953125,-0.25582757592201233
1.4412293919999684,2026-09-13T14:53:57.692340+00:00,16.128684997558594,-0.25557073950767517
1.509367920999921,2026-09-13T14:53:57.760508+00:00,16.128662109375,-0.2558227479457855
1.5634841040000538,2026-09-13T14:53:57.814618+00:00,16.12868881225586,-0.2558693587779999
1.6659526629998709,2026-09-13T14:53:57.917088+00:00,16.128652572631836,-0.25553321838378906
1.725396972999988,2026-09-13T14:53:57.976531+00:00,16.128662109375,-0.25571370124816895
1.8145299049999721,2026-09-13T14:53:58.065668+00:00,16.12872314453125,-0.25579023361206055
1.8937104510000609,2026-09-13T14:53:58.144843+00:00,16.12867546081543,-0.255473792552948
1.9601895050000167,2026-09-13T14:53:58.211331+00:00,16.12866973876953,-0.25556325912475586
2.026179058000025,2026-09-13T14:53:58.277317+00:00,16.128692626953125,-0.25575149059295654
2.0689587669999128,2026-09-13T14:53:58.320098+00:00,16.128721237182617,-0.2556319236755371
2.177929436999875,2026-09-13T14:53:58.429062+00:00,16.12871551513672,-0.2554224729537964
2.236364187999925,2026-09-13T14:53:58.487501+00:00,16.12874412536621,-0.25572913885116577
2.3008807900000647,2026-09-13T14:53:58.552020+00:00,16.12871742248535,-0.25571349263191223
2.361602183000059,2026-09-13T14:53:58.612746+00:00,16.128746032714844,-0.25544822216033936
2.422680021999895,2026-09-13T14:53:58.673833+00:00,16.128711700439453,-0.2557183802127838
2.4860610779999206,2026-09-13T14:53:58.737149+00:00,16.128751754760742,-0.25581055879592896
2.557680293999965,2026-09-13T14:53:58.808697+00:00,16.128738403320312,-0.25558122992515564
2.628947382999968,2026-09-13T14:53:58.880082+00:00,16.128707885742188,-0.25576692819595337
2.703063062999945,2026-09-13T14:53:58.954181+00:00,16.128751754760742,-0.2559686005115509
2.746108755000023,2026-09-13T14:53:58.997237+00:00,16.12872314453125,-0.2557689845561981
2.852270390000058,2026-09-13T14:53:59.103417+00:00,16.12865447998047,-0.25568267703056335
2.926430681000056,2026-09-13T14:53:59.177559+00:00,16.128684997558594,-0.2559058368206024
3.020104199999878,2026-09-13T14:53:59.271256+00:00,16.128684997558594,-0.25563448667526245
3.0680335120000564,2026-09-13T14:53:59.319167+00:00,16.128644943237305,-0.2556571066379547
3.1308192479998525,2026-09-13T14:53:59.381959+00:00,16.12867546081543,-0.2558579444885254
3.218304418999878,2026-09-13T14:53:59.469444+00:00,16.12870216369629,-0.2558223605155945
3.3433194770000227,2026-09-13T14:53:59.594455+00:00,16.128684997558594,-0.25555941462516785
3.389175681999859,2026-09-13T14:53:59.640282+00:00,16.128673553466797,-0.25565630197525024
3.4262336679998953,2026-09-13T14:53:59.677372+00:00,16.128963470458984,-0.26105672121047974
3.488160400999959,2026-09-13T14:53:59.739294+00:00,16.12788963317871,-0.2913331091403961
3.584033105999879,2026-09-13T14:53:59.835169+00:00,16.126907348632812,-0.3308326303958893
3.6460482859999956,2026-09-13T14:53:59.897186+00:00,16.126998901367188,-0.3571012616157532
3.7179697750000287,2026-09-13T14:53:59.969115+00:00,16.1278076171875,-0.39799201488494873
3.787900332999925,2026-09-13T14:54:00.039011+00:00,16.127445220947266,-0.43192821741104126
3.861743381999986,2026-09-13T14:54:00.112881+00:00,16.1270809173584,-0.460880309343338
3.936833846999889,2026-09-13T14:54:00.187981+00:00,16.126554489135742,-0.4916241466999054
