t_s,utc,source_stamp_s,receipt_age_s,x_m,y_m,z_m,yaw_rad,source,frame,raw_frame
0.04700878699986788,2026-09-13T11:49:40.791641+00:00,1789300180.7873209,0.0043201446533203125,-0.00010257522770306895,4.917897451251961e-05,0.31527769565582275,-4.613118731389143e-05,odom,episode_start,odom
0.1030238619996453,2026-09-13T11:49:40.847681+00:00,1789300180.8445034,0.003177642822265625,-7.231792327901834e-05,8.776102011498192e-05,0.3152616322040558,-8.9165852735551e-05,odom,episode_start,odom
0.15999015000033978,2026-09-13T11:49:40.904643+00:00,1789300180.9008927,0.003750324249267578,6.552215464208822e-06,4.867631112642592e-05,0.31527620553970337,-0.0002929636504485078,odom,episode_start,odom
0.2200065380002343,2026-09-13T11:49:40.964663+00:00,1789300180.9542072,0.010455846786499023,-6.340586729749465e-05,-8.852297762730879e-06,0.3152991831302643,-0.000234995456228182,odom,episode_start,odom
0.2727075020002303,2026-09-13T11:49:41.017366+00:00,1789300181.0006254,0.01674056053161621,-0.00012672274017270447,1.16592696495472e-05,0.31530267000198364,-8.917332910685083e-05,odom,episode_start,odom
0.3273570709998239,2026-09-13T11:49:41.072009+00:00,1789300181.0605867,0.011422395706176758,-9.837084239115487e-05,8.614776296708975e-05,0.31531620025634766,-0.0002525428051720624,odom,episode_start,odom
0.3870299210002486,2026-09-13T11:49:41.131688+00:00,1789300181.1173239,0.014364242553710938,-5.316048271352271e-05,8.360722877711184e-05,0.3152984082698822,-0.0003786871033619743,odom,episode_start,odom
0.43957938899984583,2026-09-13T11:49:41.184231+00:00,1789300181.1774676,0.006763458251953125,-6.328726030628304e-05,-3.3308867733063413e-06,0.315310537815094,-0.0003337345203964226,odom,episode_start,odom
0.49632438699973136,2026-09-13T11:49:41.240980+00:00,1789300181.237652,0.0033278465270996094,-8.460281684404766e-05,2.4725559203051172e-05,0.3152971863746643,-0.0003035520985543716,odom,episode_start,odom
0.556462571999873,2026-09-13T11:49:41.301119+00:00,1789300181.2908385,0.010280609130859375,-7.807259654531925e-05,5.919833687954351e-05,0.31530866026878357,-0.00036028610550742357,odom,episode_start,odom
