elapsed_s,x_m,y_m,yaw_rad,stamp_ns,frame
0.10630058700007794,2.08359956741333,-2.388521671295166,0.4905739249891913,1789313253091815267,odom
0.16294834199970865,2.0835354328155518,-2.3884873390197754,0.49081091107862346,1789313253174977098,odom
0.22178468499987503,2.0835063457489014,-2.388472080230713,0.4905419940334212,1789313253226092372,odom
0.2827572619999046,2.083531141281128,-2.3885207176208496,0.4905229860847881,1789313253295070682,odom
0.33669632300006924,2.0835843086242676,-2.3885512351989746,0.49077496585471103,1789313253355927263,odom
0.38792908999994324,2.0835397243499756,-2.388533353805542,0.49075995511179904,1789313253395093713,odom
0.44120752999970136,2.083533763885498,-2.3885178565979004,0.4907423167366944,1789313253408876930,odom
0.5024596009998277,2.0835514068603516,-2.388488531112671,0.4905806981669856,1789313253511755262,odom
0.5617964979996941,2.0835540294647217,-2.3885557651519775,0.4906798607796623,1789313253555237089,odom
0.6140895739999905,2.08353853225708,-2.388566255569458,0.4907448214226123,1789313253608418498,odom
0.6708283699999811,2.0834505558013916,-2.388535737991333,0.4907257206556526,1789313253661697660,odom
0.7283067339999434,2.0834591388702393,-2.3885250091552734,0.4906454344233021,1789313253714868579,odom
0.7832540069998686,2.0835163593292236,-2.3885743618011475,0.49054358780729856,1789313253765128646,odom
0.845361550999769,2.083554983139038,-2.38856840133667,0.4908074019048467,1789313253844942127,odom
0.8973234209997827,2.083522081375122,-2.388502836227417,0.4908032145594574,1789313253898339544,odom
0.9497558279999794,2.0835676193237305,-2.388491630554199,0.4905237363022337,1789313253951668058,odom
1.0009952820000763,2.083617687225342,-2.3885278701782227,0.4904569204904133,1789313253998292957,odom
1.0682636970000203,2.0835819244384766,-2.388594388961792,0.4905493860597901,1789313254038601909,odom
1.1327910639997754,2.083526849746704,-2.3885443210601807,0.490592240044918,1789313254115072761,odom
1.197166043999914,2.0835330486297607,-2.388551712036133,0.49033259596257756,1789313254189118181,odom
1.2484473239996987,2.083566427230835,-2.388601303100586,0.49046895282953745,1789313254258414541,odom
1.3232435039999473,2.083519458770752,-2.38858962059021,0.49050267091853017,1789313254314899478,odom
1.3751663640000515,2.083510398864746,-2.388535499572754,0.49038474375376556,1789313254371386085,odom
1.4594749899997623,2.0835697650909424,-2.388568162918091,0.49021366453533527,1789313254448983226,odom
1.5287420999998176,2.083571434020996,-2.3886003494262695,0.49037267809409896,1789313254478326831,odom
1.5817212050001217,2.0834743976593018,-2.3885281085968018,0.49040466686102374,1789313254592345272,odom
1.635669513999801,2.0835580825805664,-2.3885304927825928,0.49025118215533603,1789313254644993339,odom
1.695809177999763,2.0836117267608643,-2.388587713241577,0.49020202036349175,1789313254684702669,odom
1.7533126929997707,2.083625555038452,-2.3885984420776367,0.4903846596265687,1789313254735616002,odom
1.806933442999707,2.0835578441619873,-2.388505220413208,0.49042747979725015,1789313254825009380,odom
1.858530791999783,2.0836122035980225,-2.388507127761841,0.4901600204065935,1789313254871511732,odom
1.9106067429997893,2.083691358566284,-2.3885340690612793,0.49026643305708845,1789313254931544576,odom
1.9829553549998309,2.0836868286132812,-2.388537883758545,0.49037282623894274,1789313254988324676,odom
2.0394544969999515,2.083584785461426,-2.3885042667388916,0.49032209105904506,1789313255042615447,odom
2.09307425399993,2.0835866928100586,-2.388472557067871,0.4900823209770796,1789313255081621681,odom
2.146764221000012,2.083644151687622,-2.388472318649292,0.4900590904770712,1789313255129690681,odom
2.198946988999978,2.0836410522460938,-2.3884975910186768,0.49039010535166944,1789313255218546663,odom
2.2584784480000053,2.083583354949951,-2.38846755027771,0.4903348777260247,1789313255254994188,odom
2.321761917999993,2.083540439605713,-2.388450860977173,0.49005497144533827,1789313255325030361,odom
2.3749965469996823,2.0835726261138916,-2.3885045051574707,0.489970868074748,1789313255388603959,odom
2.428446700999757,2.0835654735565186,-2.388526439666748,0.4901738080841785,1789313255421906267,odom
2.49103127699982,2.0834996700286865,-2.388468027114868,0.4902528143221779,1789313255495816265,odom
2.54851287099973,2.0835165977478027,-2.3884358406066895,0.4900842445640068,1789313255528507028,odom
2.605086158999711,2.0836381912231445,-2.38847017288208,0.49006547147069773,1789313255614723955,odom
2.660928999999669,2.083599328994751,-2.388498544692993,0.4903381363494582,1789313255674665485,odom
2.7193744219998734,2.083606004714966,-2.3884406089782715,0.49026238181932086,1789313255734814916,odom
2.772814430999915,2.0836446285247803,-2.388414144515991,0.4899777190095063,1789313255791630063,odom
2.8298713770000177,2.0836706161499023,-2.3884503841400146,0.48993524134424277,1789313255824603591,odom
2.882798927999829,2.08367657661438,-2.3885061740875244,0.4900810743913412,1789313255879252468,odom
2.948734899000101,2.0835888385772705,-2.3884894847869873,0.4901742957449286,1789313255954088722,odom
3.0041113940001196,2.0835728645324707,-2.388465404510498,0.48989540633070905,1789313256021633182,odom
3.0581433829997877,2.0835976600646973,-2.388486623764038,0.4898210128907631,1789313256044646058,odom
3.116282556999977,2.0836479663848877,-2.388507843017578,0.49003439170643426,1789313256111697946,odom
3.1739313539997056,2.0835843086242676,-2.388450860977173,0.4900634841167077,1789313256184898649,odom
3.2253028729996913,2.0835797786712646,-2.3883986473083496,0.48982182798887697,1789313256244698320,odom
3.277952529999766,2.083651542663574,-2.388437271118164,0.4898345803302557,1789313256298459564,odom
3.3345978190000096,2.0836682319641113,-2.388439416885376,0.49002802648797616,1789313256348377262,odom
3.396715216999837,2.0836336612701416,-2.388423442840576,0.48996145538795177,1789313256391448770,odom
3.448978370000077,2.0835959911346436,-2.3884036540985107,0.4898039391187688,1789313256465145860,odom
3.5143115440000656,2.083650588989258,-2.3884236812591553,0.48972763738325914,1789313256508506332,odom
3.5871265619998667,2.0836715698242188,-2.3884663581848145,0.4898601133947811,1789313256560999427,odom
3.6421410019997893,2.083540916442871,-2.3883843421936035,0.4897728670342607,1789313256661325965,odom
3.714603693999834,2.0835866928100586,-2.3883655071258545,0.4896102384941067,1789313256717965637,odom
3.769598997999765,2.0836141109466553,-2.388439655303955,0.4898347773283527,1789313256784664903,odom
3.8217273329996715,2.0835676193237305,-2.3884472846984863,0.49000864470918365,1789313256841601882,odom
3.8874043529999653,2.0835392475128174,-2.388417959213257,0.4899149325026395,1789313256891397987,odom
3.941332819999843,2.0835556983947754,-2.388465404510498,0.4895407481944657,1789313256958026443,odom
4.011267012999724,2.083615779876709,-2.3884897232055664,0.48976324314218705,1789313257012404714,odom
4.073360728999887,2.0835862159729004,-2.388460874557495,0.48983644968770174,1789313257081224714,odom
