campaign,run,started,start_kst,navigation,goal,result_reason,odom_radius_reached,archive_success,paper_success,paper_spl,duration_s,final_goal_distance_m,minimum_goal_distance_m,odom_path_10hz_m,odom_path_5hz_m,odom_path_20hz_m,pose_samples,odom_samples,forward_speed_mps,turn_speed_radps,look_execution,max_duration_s,vlm_calls,vlm_errors,policy_outputs,raw_action_counts,policy_final_action,policy_stop_source,recording_integrity_passed,recording_issues,field_report_status,navigation_image,checkpoint_sha256,evaluation_map_sha256,metric_use,operator_intervention_reviewed,autonomous_path_usable,provisional_protocol_success,autonomous_path_use_status
original5,full-goal-4-002,False,,full,4,INCOMPLETE,,,,,,,,,,,0,0,,0.5,forward_0p1,360,0,0,0,{},,,False,no recorded observation:image; missing: /home/unitree/s2e-vlm-async-framework-minimal/.local-data/recording-five-goals-20260913/episodes/full-goal-4-002/full5m/runtime/events.jsonl; missing: full5m/runtime/result.json; native topic empty: /s2e/robot/sensors/cloud; native topic empty: /s2e/robot/sensors/odom; native topic empty: /s2e/robot/sensors/imu,awaiting_field_report,sha256:a92b920649fabdc2ba7b894f9e75a68454596cc997d70825d3214349a305cf14,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,prestart_excluded_from_driving_denominator,,False,,field_context_unverified
original5,full-goal-4-004,True,2026-09-13T20:01:31.634111+09:00,full,4,CONTROLLER_INHIBITED:MOTION_TIMEOUT,0,0,,,344.905694432,5.331369876861572,5.321143627166748,11.085061577606346,10.686749810054621,11.262155302938611,10947,6091,,0.5,forward_0p1,360,127,0,53,"{""look_down"": 30, ""right"": 3, ""stop"": 3, ""left"": 2, ""forward"": 15}",forward,model,True,,awaiting_field_report,sha256:a92b920649fabdc2ba7b894f9e75a68454596cc997d70825d3214349a305cf14,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
original5,full-goal-4-006,True,2026-09-13T20:20:36.091004+09:00,full,4,CONTROLLER_INHIBITED:COMMAND_TRANSPORT_FAILED,0,0,,,4.353863794999597,11.302820205688477,11.302783012390137,0.002442493204091497,0.0012438269858292186,0.003185190518063582,135,78,0.5,0.6,forward_0p2,360,0,0,0,{},,,True,,awaiting_field_report,sha256:1e4b3b64eaeaf301bd3a38c17f9474d3c7f8f803a6a5501aa5c6931f3cbe2339,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
original5,full-goal-4-007,True,2026-09-13T20:30:42.497896+09:00,full,4,CONTROLLER_INHIBITED:MOTION_TIMEOUT,0,0,,,301.1586913639994,4.5316925048828125,4.460921764373779,11.793220619891354,11.372376141977773,11.990385868707289,9281,5340,0.5,0.6,forward_0p2,360,101,0,42,"{""look_down"": 24, ""stop"": 1, ""left"": 4, ""right"": 2, ""forward"": 11}",forward,model,True,,awaiting_field_report,sha256:5a393b3092c0604954cf07b97a5376ab490343cddeb6c56312c4fe993a790654,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
original5,full-goal-4-009,True,2026-09-13T21:59:28.406394+09:00,full,4,GOAL_DISTANCE_REACHED,1,,,,302.3542648999992,0.9839638471603394,0.9839638471603394,14.96849839810426,14.579998810063172,15.186129956500402,9214,5359,0.5,0.8,forward_0p2,360,131,0,54,"{""look_down"": 20, ""forward"": 29, ""right"": 3, ""left"": 2}",forward,model,True,,awaiting_field_report,sha256:21b6e54f2b21cc523229d1a1b8b6ccbc72e2c249b5fd6aed474b7c1ada1e388c,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
original5,full-goal-5-004,True,2026-09-13T20:38:04.428095+09:00,full,5,CONTROLLER_INHIBITED:NO_MOTION_PROGRESS,0,0,,,210.55000388700046,3.8438215255737305,3.7192869186401367,7.942922436735969,7.7419111823352855,8.071206607563381,5880,3632,0.5,0.6,forward_0p2,360,110,0,32,"{""look_down"": 19, ""forward"": 5, ""right"": 2, ""left"": 6}",look_down,model,True,,awaiting_field_report,sha256:5a393b3092c0604954cf07b97a5376ab490343cddeb6c56312c4fe993a790654,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
original5,full-goal-5-006,True,2026-09-13T21:53:28.469366+09:00,full,5,CONTROLLER_INHIBITED:NO_MOTION_PROGRESS,0,0,,,236.24308701799964,5.044090747833252,5.030765056610107,9.533792291480385,9.182549857286261,9.738375916405579,6662,4089,0.5,0.8,forward_0p2,360,129,0,33,"{""look_down"": 19, ""forward"": 9, ""right"": 3, ""left"": 2}",look_down,model,True,,received_partial,sha256:21b6e54f2b21cc523229d1a1b8b6ccbc72e2c249b5fd6aed474b7c1ada1e388c,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,operator_intervened_before_wall_contact; whole_run_path_not_certified_autonomous,True,False,0,manual_intervention_not_an_autonomous_length
long5,full-goal-5-001,True,2026-09-13T23:53:56.251148+09:00,full,5,TRIAL_TIME_LIMIT,0,0,,,360.01888463599994,1.5130161046981812,1.5130161046981812,20.532253933215518,20.02247313721305,20.787538825250948,11190,6318,0.5,0.8,forward_0p2,360,144,0,73,"{""look_down"": 29, ""forward"": 39, ""left"": 4, ""right"": 1}",forward,model,True,,received_partial,sha256:21b6e54f2b21cc523229d1a1b8b6ccbc72e2c249b5fd6aed474b7c1ada1e388c,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
recaptured5,direct_goal-goal-4-001,False,,direct_goal,4,ERROR:NODE_UNAVAILABLE:sweep_scheduler_node,,,,,,,,,,,198,126,0.5,0.8,forward_0p2,360,0,0,0,{},,,True,,awaiting_field_report,sha256:21b6e54f2b21cc523229d1a1b8b6ccbc72e2c249b5fd6aed474b7c1ada1e388c,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,prestart_excluded_from_driving_denominator,,False,,field_context_unverified
recaptured5,direct_goal-goal-4-002,True,2026-09-14T00:35:58.741972+09:00,direct_goal,4,PIXNAV_TERMINAL_BEFORE_GOAL,0,0,,,35.39607037799988,7.46298360824585,7.454061508178711,4.908258956244584,4.837370006717937,4.932645309316234,1083,628,0.5,0.8,forward_0p2,360,0,0,21,"{""look_down"": 10, ""forward"": 10, ""stop"": 1}",stop,model,True,,received_partial,sha256:8a36ebd1ee5a03f7b0a3446c138e0989f67536db9c11c70a1c27e116f32e0e98,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,confirmed_unassisted_early_STOP_failure_under_declared_fixed_start_protocol; final_paper_cohort_pending,False,True,0,accepted_relative_estimate
recaptured5,direct_goal-goal-4-003,True,2026-09-14T00:42:21.783291+09:00,direct_goal,4,PIXNAV_TERMINAL_BEFORE_GOAL,0,0,,,59.33990597799993,5.661212921142578,5.657437324523926,7.058639332172709,6.9814209739799935,7.1044777774178955,1790,1045,0.5,0.8,forward_0p2,360,0,0,31,"{""look_down"": 3, ""forward"": 23, ""right"": 4, ""stop"": 1}",stop,model,True,,received_partial,sha256:8a36ebd1ee5a03f7b0a3446c138e0989f67536db9c11c70a1c27e116f32e0e98,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
recaptured5,direct_goal-goal-4-004,True,2026-09-14T00:45:27.416808+09:00,direct_goal,4,PIXNAV_TERMINAL_BEFORE_GOAL,0,0,,,70.53503043700039,9.3451509475708,9.339292526245117,6.005540031470449,5.879925546411992,6.057016256328331,2167,1243,0.5,0.8,forward_0p2,360,0,0,29,"{""look_down"": 8, ""forward"": 10, ""left"": 3, ""right"": 3, ""look_up"": 4, ""stop"": 1}",stop,model,True,,received_partial,sha256:8a36ebd1ee5a03f7b0a3446c138e0989f67536db9c11c70a1c27e116f32e0e98,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
recaptured5,direct_goal-goal-4-005,True,2026-09-14T00:47:49.777489+09:00,direct_goal,4,PIXNAV_TERMINAL_BEFORE_GOAL,0,0,,,58.90026391399988,8.790611267089844,8.785164833068848,3.730877812615774,3.6505789709619405,3.767262819721973,1748,1028,0.5,0.8,forward_0p2,360,0,0,21,"{""look_down"": 3, ""forward"": 9, ""right"": 5, ""left"": 3, ""stop"": 1}",stop,model,True,,received_partial,sha256:8a36ebd1ee5a03f7b0a3446c138e0989f67536db9c11c70a1c27e116f32e0e98,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
recaptured5,direct_goal-goal-4-006,True,2026-09-14T00:49:54.568726+09:00,direct_goal,4,PIXNAV_TERMINAL_BEFORE_GOAL,0,0,,,27.479006247999678,9.466014862060547,9.456267356872559,3.7293541689550866,3.68463184770173,3.74701209899553,809,480,0.5,0.8,forward_0p2,360,0,0,16,"{""look_down"": 2, ""forward"": 11, ""left"": 1, ""look_up"": 1, ""stop"": 1}",stop,model,True,,received_partial,sha256:8a36ebd1ee5a03f7b0a3446c138e0989f67536db9c11c70a1c27e116f32e0e98,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
recaptured5,full-goal-4-002,True,2026-09-14T00:52:16.471213+09:00,full,4,CONTROLLER_INHIBITED:LOCALIZED_POSE_STALE,0,0,,,124.27812773900041,6.2302470207214355,6.2302470207214355,6.656622299534619,6.499371444482862,6.749593094919289,3590,2142,0.5,0.8,forward_0p2,360,49,0,24,"{""look_down"": 8, ""forward"": 14, ""left"": 1, ""right"": 1}",forward,model,False,Full policy trace missing: sweep_scheduler_trace.jsonl,awaiting_field_report,sha256:8a36ebd1ee5a03f7b0a3446c138e0989f67536db9c11c70a1c27e116f32e0e98,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
recaptured5,full-goal-4-003,True,2026-09-14T00:56:17.058222+09:00,full,4,CONTROLLER_INHIBITED:NODE_UNAVAILABLE:rtab_pointgoal_adapter,0,0,,,312.57429455500005,52.435916900634766,6.180042266845703,63.42702609723435,63.16984718675499,63.879131476990366,9584,5534,0.5,0.8,forward_0p2,360,25,14,16,"{""look_down"": 2, ""forward"": 12, ""left"": 1, ""stop"": 1}",stop,model,False,Full policy trace missing: sweep_scheduler_trace.jsonl,awaiting_field_report,sha256:8a36ebd1ee5a03f7b0a3446c138e0989f67536db9c11c70a1c27e116f32e0e98,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,network_stall_then_confirmed_manual_relocation; autonomous_path_invalid; intervention_failure_for_end_to_end_protocol,True,False,0,manual_intervention_not_an_autonomous_length
recaptured5,full-goal-5-001,True,2026-09-14T00:21:10.108930+09:00,full,5,CONTROLLER_INHIBITED:MOTION_TIMEOUT,0,0,,,235.49580783200008,7.689561367034912,7.650765895843506,12.134657790130236,11.732263540634474,12.328216357545186,6954,4097,0.5,0.8,forward_0p2,360,100,0,42,"{""look_down"": 22, ""forward"": 17, ""right"": 2, ""left"": 1}",forward,model,True,,received_partial,sha256:21b6e54f2b21cc523229d1a1b8b6ccbc72e2c249b5fd6aed474b7c1ada1e388c,0b1faff7631962351bbbfe8cb115a3a03069f33fab499865f887ffbb5a3cabe3,38348c5458ce632851c628f53a51f3fee40cf1678e5fb982361bd1f50fb16ad9,descriptive_recording; field_or_physical_arrival_review_pending; shortest_path_reference_missing,,False,,field_context_unverified
