t_s,utc,source_stamp_s,receipt_age_s,x_m,y_m,z_m,yaw_rad,source,frame,raw_frame
0.052772078000089095,2026-09-13T15:45:27.469577+00:00,1789314327.4571958,0.012381315231323242,-2.5950916693683032e-05,5.1820562519368774e-05,0.31105491518974304,0.00028226761445532267,odom,episode_start,odom
0.10577408199969796,2026-09-13T15:45:27.522579+00:00,1789314327.515857,0.006721973419189453,-7.021390914839105e-05,8.056277925945435e-05,0.31105488538742065,0.0001335974355043401,odom,episode_start,odom
0.15821618500012846,2026-09-13T15:45:27.575030+00:00,1789314327.5692675,0.005762577056884766,-7.361699455628206e-05,4.3757973342193216e-05,0.3110541105270386,-0.00017892203808461682,odom,episode_start,odom
0.2197742050002489,2026-09-13T15:45:27.636256+00:00,1789314327.6092837,0.026972293853759766,-4.955895158665307e-05,1.8786738606696125e-05,0.31105461716651917,-0.00012585064676085,odom,episode_start,odom
0.2730116080001608,2026-09-13T15:45:27.689807+00:00,1789314327.6556153,0.03419160842895508,-7.934484910566948e-06,3.0143186035535727e-05,0.31105539202690125,-4.556162819141507e-05,odom,episode_start,odom
0.33255770899995696,2026-09-13T15:45:27.749293+00:00,1789314327.7222676,0.027025461196899414,-4.2482601709618916e-05,0.00010291846176141336,0.31105443835258484,0.0002723475509582851,odom,episode_start,odom
0.38404624499980855,2026-09-13T15:45:27.800849+00:00,1789314327.7625868,0.038262128829956055,-9.711743782047403e-05,7.277200467097983e-05,0.3110544681549072,6.98928932095777e-05,odom,episode_start,odom
0.4400900040000124,2026-09-13T15:45:27.856860+00:00,1789314327.8100452,0.046814680099487305,-7.565522936203729e-05,3.591217248570304e-05,0.31105339527130127,-0.00014194470118056302,odom,episode_start,odom
0.49781154500033153,2026-09-13T15:45:27.914615+00:00,1789314327.8856099,0.029005050659179688,-5.547409403400627e-05,3.584236554200791e-05,0.3110545873641968,-1.4269766002883433e-05,odom,episode_start,odom
0.5525315309996586,2026-09-13T15:45:27.969322+00:00,1789314327.9622726,0.0070493221282958984,-7.54334887625257e-05,0.00010408868744030306,0.31105390191078186,0.00022369695548268842,odom,episode_start,odom
0.6191532650000227,2026-09-13T15:45:28.035948+00:00,1789314328.0128748,0.023073196411132812,-9.757895551791462e-05,7.289190083602426e-05,0.3110538125038147,-1.386164443756277e-05,odom,episode_start,odom
0.6950473790002434,2026-09-13T15:45:28.111850+00:00,1789314328.0789888,0.03286123275756836,-6.696440815592521e-05,3.143741954633185e-05,0.3110528588294983,-0.0002490245331633889,odom,episode_start,odom
0.7575953389996357,2026-09-13T15:45:28.174398+00:00,1789314328.1525648,0.021833181381225586,-9.387120788290601e-05,8.621596597927941e-05,0.31105348467826843,-0.000112810154076326,odom,episode_start,odom
0.8199022669996339,2026-09-13T15:45:28.236704+00:00,1789314328.2258637,0.010840415954589844,0.000748205661479029,0.00011699047231273152,0.3110577464103699,-2.1028221122321167e-05,odom,episode_start,odom
0.8807862379999278,2026-09-13T15:45:28.297591+00:00,1789314328.2857184,0.011872529983520508,0.0025765691589241238,0.0013224866826884857,0.3103278875350952,-0.0005538901282255981,odom,episode_start,odom
0.9365829329999542,2026-09-13T15:45:28.353390+00:00,1789314328.3490758,0.0043141841888427734,0.005923513796208481,0.0014932573584590084,0.30959540605545044,-0.002088019556601539,odom,episode_start,odom
1.0092520299995158,2026-09-13T15:45:28.426058+00:00,1789314328.413776,0.012282133102416992,0.01581313556377033,0.0010309474582736286,0.30858683586120605,-0.006182198661787375,odom,episode_start,odom
1.072643266000341,2026-09-13T15:45:28.489446+00:00,1789314328.4724417,0.01700425148010254,0.026984451099827438,0.00021694927360669386,0.3075629472732544,-0.009554973278758122,odom,episode_start,odom
1.1299017399996956,2026-09-13T15:45:28.546709+00:00,1789314328.5422037,0.0045053958892822266,0.04096247179312251,-0.001044635494181512,0.3058668076992035,-0.014552788744639278,odom,episode_start,odom
1.1891760680000516,2026-09-13T15:45:28.605980+00:00,1789314328.5887775,0.017202377319335938,0.045883288609906314,-0.0016056778880248652,0.3048659563064575,-0.014402895214880362,odom,episode_start,odom
1.2531493209999098,2026-09-13T15:45:28.669954+00:00,1789314328.6554856,0.01446843147277832,0.06449714158550879,-0.0025359530770759867,0.3025566339492798,-0.014740938486351413,odom,episode_start,odom
1.3095764239997152,2026-09-13T15:45:28.726349+00:00,1789314328.7183142,0.008034944534301758,0.08453307918859802,-0.004001941436039092,0.29930979013442993,-0.012284268730696435,odom,episode_start,odom
1.3706681739995474,2026-09-13T15:45:28.787475+00:00,1789314328.7808375,0.0066375732421875,0.10796031183552479,-0.003661454910342213,0.2970859110355377,-0.00915728170427907,odom,episode_start,odom
1.425765551999575,2026-09-13T15:45:28.842565+00:00,1789314328.8356721,0.0068929195404052734,0.1300440310071779,-0.007367992373036456,0.30116599798202515,-0.0004278737433887625,odom,episode_start,odom
1.4765272020003977,2026-09-13T15:45:28.893334+00:00,1789314328.8890538,0.00428009033203125,0.145241125553221,-0.007526908094927391,0.3022361993789673,0.0016832415901783528,odom,episode_start,odom
1.5415694639996218,2026-09-13T15:45:28.958369+00:00,1789314328.9255247,0.03284430503845215,0.15516714927189743,-0.006368938495162096,0.30288055539131165,0.003491569256084237,odom,episode_start,odom
1.5930065209995519,2026-09-13T15:45:29.009807+00:00,1789314328.9990718,0.010735273361206055,0.1812058890384481,-0.0020871659124203842,0.30092570185661316,0.0007017869725382542,odom,episode_start,odom
1.646390416000031,2026-09-13T15:45:29.063193+00:00,1789314329.055968,0.00722503662109375,0.19641453263766867,-0.0002720167665494974,0.29903972148895264,0.004785144447485512,odom,episode_start,odom
1.7008256859999165,2026-09-13T15:45:29.117628+00:00,1789314329.109106,0.00852203369140625,0.20483190999921547,0.001164319797583302,0.29930922389030457,0.004346996267260095,odom,episode_start,odom
1.755829177999658,2026-09-13T15:45:29.172641+00:00,1789314329.169093,0.003548145294189453,0.21056772151862535,0.0023750224148038138,0.30171510577201843,0.0037108772808917556,odom,episode_start,odom
1.819874969999546,2026-09-13T15:45:29.236447+00:00,1789314329.2224746,0.01397252082824707,0.2107549745670306,0.002526891268148812,0.30239149928092957,0.005284356178377581,odom,episode_start,odom
1.877146711000023,2026-09-13T15:45:29.293950+00:00,1789314329.2821786,0.011771440505981445,0.20853471279844338,0.001679883552625841,0.3023138642311096,0.009772241588751673,odom,episode_start,odom
1.9288963509998212,2026-09-13T15:45:29.345675+00:00,1789314329.3421476,0.003527402877807617,0.20596096043494666,0.0006261529288834125,0.30189648270606995,0.013463084555106919,odom,episode_start,odom
1.9833004800002527,2026-09-13T15:45:29.400105+00:00,1789314329.3953989,0.004706144332885742,0.20490825235482676,0.000114570618149748,0.30164453387260437,0.016007500910303285,odom,episode_start,odom
2.0413532129996383,2026-09-13T15:45:29.458157+00:00,1789314329.4288988,0.029258251190185547,0.2048165786524307,1.2017622542104256e-05,0.3021153211593628,0.01730455035612422,odom,episode_start,odom
2.1029940629996418,2026-09-13T15:45:29.519626+00:00,1789314329.4824295,0.03719639778137207,0.20487756884113303,0.0002240308036278449,0.3026474416255951,0.01852287218476162,odom,episode_start,odom
2.1542384029999084,2026-09-13T15:45:29.571041+00:00,1789314329.535575,0.03546619415283203,0.2046385298047672,0.000427524860582118,0.3027779161930084,0.01914894287583702,odom,episode_start,odom
2.2068577560003177,2026-09-13T15:45:29.623664+00:00,1789314329.6190789,0.0045850276947021484,0.20370292003230342,0.00033729588784330716,0.3028496205806732,0.020447013222112013,odom,episode_start,odom
