episode_time_s,odom_x_m,odom_y_m,start_forward_m,start_left_m,yaw_relative_rad,cumulative_path_m,goal_distance_interpolated_m
0.0,-2.9183531900482707,5.034201973842761,9.234221210931227e-06,3.1386604969091736e-05,0.00010492442875031928,0.0,3.1145916693272433
0.1,-2.918300272238992,5.034165171995545,4.879426028550352e-06,9.569606194284053e-05,0.00031311836163450124,6.445673352985657e-05,3.1145696743995757
0.2,-2.9183195764230807,5.034226215170662,-3.069932943346826e-05,4.246944349392256e-05,4.430376541186831e-05,0.00012847954783642087,3.1146237223761264
0.3,-2.918303959706027,5.034168593561339,4.513882691595111e-06,9.067900068288637e-05,0.00030790133204972037,0.0001881798971864932,3.114572035452699
0.4,-2.9182366557082897,5.034194163855532,-5.7517375339925215e-05,0.00012722747648648112,0.00013962950678969577,0.0002601775919866672,3.1146140169721486
0.5,-2.9182625337093544,5.034143206908807,-1.5671096417900182e-06,0.00013888290985366626,0.00019840908708257388,0.00031732898180938994,3.114558126374717
0.6,-2.918194163883224,5.034105843167174,-1.5142639058808352e-05,0.00021560440172501975,0.0002707117225142497,0.0003952422817903206,3.114539555036074
0.7,-2.9182613712152534,5.034148333867027,-6.2955561099903715e-06,0.00013658532696542782,0.00016474501493624064,0.0004747550798329329,3.114563379974724
0.8,-2.9182126198818956,5.03409660944038,3.601724368218253e-06,0.00020697106881219658,0.00026423342857517795,0.000545833267880915,3.1145258949911043
0.9,-2.9182211903041457,5.03413168339055,-1.8417085268382104e-05,0.00017835627997391223,2.6411461035547035e-05,0.000581939141614595,3.114557595867452
1.0,-2.9181753637909957,5.034113685223923,-3.3015858775937605e-05,0.00022537626637834696,0.0003268781974825608,0.0006311733097237256,3.1145519583693115
1.1,-2.9181220800342946,5.034180309497334,-0.00011832675572777785,0.00022531798351629016,-1.692858615465198e-05,0.0007164842265844622,3.1146300242520453
1.2,-2.918159446293624,5.034186545842746,-9.983615477227975e-05,0.0001922539998379898,9.300540247059175e-05,0.0007543673275712397,3.1146264639217702
1.3,-2.918072794955631,5.034222161031975,-0.0001818021108922136,0.00023762445406886524,-0.000101306110740218,0.0008480524175256763,3.114683121186718
1.4,-2.918161444816046,5.034262975572113,-0.0001582426544931331,0.00014291660617660182,-0.0001378696200196039,0.0009456465999250605,3.11469982217032
1.5,-2.9180563495908447,5.034272919939751,-0.0002317013044928687,0.00021873034865115286,-7.429959427529553e-05,0.0010512112569262615,3.114736400478299
1.6,-2.918118317897903,5.034290226807466,-0.00020647244890813218,0.00015954332646178965,-0.00018196135931036747,0.0011155509705544685,3.114737226793143
1.7,-2.9180641720243186,5.034231859082118,-0.00019476208076940634,0.00023829251227708393,3.3135441473319815e-05,0.0011951660883934582,3.114694707229388
1.8,-2.9180783832615753,5.034261819386164,-0.00020926336221095335,0.0002084715143145199,-0.00018729937150530065,0.0012283259901262771,3.1147200176178753
1.9,-2.918115622862986,5.034277492027877,-0.00019821726343490515,0.00016960760672250414,-4.9491323692585354e-05,0.0012687292030120235,3.1147256098953076
2.0,-2.918040655126282,5.034258302122627,-0.00023010250677213122,0.00024011821065796042,-0.00022130657731267434,0.0013461140465540046,3.1147262995552936
2.1,-2.918089546990106,5.034313414566428,-0.00024255639334962273,0.00016750487497470745,-0.00028812092121599514,0.0014197876226171616,3.114767020642059
2.2,-2.91802174205904,5.03424975582338,-0.0002352547214308945,0.00026022288741321236,-0.00026825114388095983,0.0015127926990557922,3.1147228929056423
2.3,-2.918085863930535,5.034334266822633,-0.00026113457680904123,0.00015734452970678355,-0.0004191598407672359,0.00161887626705181,3.114788119795715
2.4,-2.917969057609906,5.034300524475303,-0.0003078151697890235,0.00026960843655697136,-0.00014410808046472212,0.0017404585952999168,3.114785481643056
2.5,-2.9179989419645835,5.034377743950914,-0.00034940619777648174,0.00019801158984500617,-0.00045300307938145323,0.0018232590908790508,3.1148524459674864
2.6,-2.918001521718567,5.034277880841305,-0.0002698472512519678,0.00025842408705659955,-0.00034001278849737915,0.0019231555161976339,3.1147552650820347
2.7,-2.9179536250519975,5.034309842309978,-0.00032473517939165836,0.00027582930158256963,-0.0006168998122544345,0.001980736990198938,3.114798447956936
2.8,-2.9179760999390494,5.034294985477466,-0.0002990895316000073,0.0002675741959124828,-0.0005863740442175747,0.002007678519856285,3.1147783208564936
2.9,-2.917881287808921,5.034285324907763,-0.00035081777875146784,0.00034761702865280337,-0.0006162509219107547,0.002102981545130709,3.1147933171205775
3.0,-2.917963871905214,5.034315123798957,-0.0003224520708522709,0.00026452976433184933,-0.0006866296727841004,0.0021907773700710937,3.114800922844369
3.1,-2.917888253690801,5.034271360706006,-0.00033556379220445805,0.00035090919139000996,-0.0005531905094895428,0.0022781462584451225,3.1147780328279793
3.2,-2.9179516519281394,5.034269817872188,-0.00029472827837180376,0.0003023893228426531,-0.0006931508746941262,0.0023415632658944628,3.114760270436324
3.3,-2.9179420786353893,5.034214024141248,-0.0002571639386709885,0.00034473916025852357,-0.0005760889580068707,0.0023981723494969106,3.114708802423991
3.4,-2.917886007570899,5.0342106955617725,-0.00028961682456378555,0.00039058514057967555,-0.0006177491832302096,0.0024543421253054214,3.1147199764118576
3.5,-2.9179613867766085,5.034241073562942,-0.00026620702612458494,0.00031275950890559666,-0.000730186418179013,0.0025356123388429372,3.1147299905036747
3.6,-2.9178908537600345,5.03418414959401,-0.00026586742858144045,0.00040339685959251786,-0.0007394596582108726,0.0026262503257250126,3.114693075878872
3.7,-2.918029248147126,5.034247192930926,-0.0002285621237909595,0.0002559662557733482,-0.0008324349033692613,0.0027783275058277344,3.1147184896168105
3.8,-2.917927470725083,5.034199895301893,-0.00025526758050655997,0.00036497326440802785,-0.000672251612299668,0.0028905581137289213,3.114698895992867
3.9,-2.9179224464458025,5.0341968618545385,-0.00025604063920242354,0.00037079113045974916,-0.0006928921813935673,0.002896427115785747,3.1146972536659194
4.0,-2.9181424877323545,5.034345247935007,-0.00023430920845334756,0.00010628339601360826,0.002897456432041423,0.0031618260544879055,3.114784204312511
4.1,-2.9180437104201387,5.033667851942002,0.00023267235542803323,0.0006068336010308912,0.03214749712789988,0.0038463859779043616,3.1141548410304223
4.2,-2.9182133019626666,5.032435725762635,0.0013004000833250417,0.0012446844552726683,0.06292524519389042,0.0050901288022764555,3.1129204656121705
4.3,-2.9184028615766198,5.0308076943301625,0.0026896266912224357,0.002114436502853727,0.0856928996405153,0.0067291587569635394,3.11129833885905
4.4,-2.918798319264268,5.0293712244715545,0.004058043742973162,0.002703730325905838,0.1057246060383541,0.008219068968153973,3.109808488376474
4.5,-2.9195119605269193,5.028344839061079,0.005305278776481487,0.0027883213052405775,0.12702764168472847,0.009469169309164775,3.1086332989939343
4.6,-2.9202179769199503,5.027992659297587,0.006021508653331268,0.002457406668892682,0.14539364066845373,0.01025814949462035,3.10811177560101
4.7,-2.9207183320217647,5.0272560713977015,0.006909218913956562,0.0025273170068307355,0.16414584122763554,0.011148608343849242,3.10727151541328
4.8,-2.9214712048331313,5.026212758363659,0.008194190778336838,0.0025918682643616487,0.1836484976407773,0.01243520057027444,3.106070091361129
