t_s,utc,node,state,mode,healthy,error
63.66658987999972,2026-09-13T10:42:35.552900+00:00,vlm_node,WAITING_SYNC,WAITING_SWEEP_OBSERVATION,True,
64.68697545999976,2026-09-13T10:42:36.573275+00:00,vlm_node,FROZEN_ROTATING,FROZEN_ROTATING,True,
65.14689022899984,2026-09-13T10:42:37.033199+00:00,go2_action_executor,ACTIVE,MOVING,True,
71.65190408299986,2026-09-13T10:42:43.538156+00:00,go2_action_executor,ACTIVE,IDLE,True,
71.65933927600008,2026-09-13T10:42:43.545644+00:00,vlm_node,WAITING_SYNC,WAITING_SWEEP_OBSERVATION,True,
72.70409370499965,2026-09-13T10:42:44.590398+00:00,vlm_node,ACTIVE,OBSERVATION_READY,True,
72.89403152499972,2026-09-13T10:42:44.780354+00:00,vlm_node,ACTIVE,VLM_IN_FLIGHT,True,
77.45355312299989,2026-09-13T10:42:49.339857+00:00,vlm_node,WAITING_SYNC,WAITING_PIXNAV_ACTIVE_TRAJECTORY,True,
77.66410891299984,2026-09-13T10:42:49.550424+00:00,go2_action_executor,ACTIVE,MOVING,True,
79.13216181200005,2026-09-13T10:42:51.018466+00:00,go2_action_executor,ACTIVE,IDLE,True,
79.20804611499989,2026-09-13T10:42:51.094314+00:00,vlm_node,ACTIVE,VLM_IN_FLIGHT,True,
79.65841582799976,2026-09-13T10:42:51.544731+00:00,go2_action_executor,ACTIVE,MOVING,True,
82.13070755799981,2026-09-13T10:42:54.017006+00:00,go2_action_executor,ACTIVE,IDLE,True,
82.6465676580001,2026-09-13T10:42:54.532876+00:00,go2_action_executor,ACTIVE,MOVING,True,
85.45849979199966,2026-09-13T10:42:57.344805+00:00,vlm_node,WAITING_SYNC,WAITING_PIXNAV_PREFETCH_APPLY,True,
85.64332774400009,2026-09-13T10:42:57.529634+00:00,go2_action_executor,ACTIVE,IDLE,True,
86.14076700299984,2026-09-13T10:42:58.027073+00:00,go2_action_executor,ACTIVE,MOVING,True,
86.92630077800004,2026-09-13T10:42:58.812577+00:00,vlm_node,ACTIVE,VLM_IN_FLIGHT,True,
88.13413353399983,2026-09-13T10:43:00.020453+00:00,go2_action_executor,ACTIVE,IDLE,True,
88.65690151399986,2026-09-13T10:43:00.543205+00:00,go2_action_executor,ACTIVE,MOVING,True,
89.65492087199982,2026-09-13T10:43:01.541237+00:00,go2_action_executor,ACTIVE,IDLE,True,
90.15256740199993,2026-09-13T10:43:02.038874+00:00,go2_action_executor,ACTIVE,MOVING,True,
91.13937550499986,2026-09-13T10:43:03.025691+00:00,go2_action_executor,ACTIVE,IDLE,True,
91.454149443,2026-09-13T10:43:03.340450+00:00,vlm_node,WAITING_SYNC,WAITING_PIXNAV_PREFETCH_APPLY,True,
