frame_index,video_time_s,episode_time_s,source_receipt_unix_ns,source_header_ns,hold_age_s
70,4.666666666666667,4.666666667,1789314474437795154,1789314474382860351,0.006360409
71,4.733333333333333,4.733333333,1789314474510333251,1789314474453838049,0.000488978
72,4.8,4.800000000000001,1789314474510333251,1789314474453838049,0.067155645
73,4.866666666666666,4.8666666670000005,1789314474579320094,1789314474523528217,0.064835469
74,4.933333333333334,4.933333333,1789314474653416605,1789314474596391221,0.057405624
75,5.0,5.0,1789314474718259378,1789314474663311965,0.059229518
76,5.066666666666666,5.066666667000001,1789314474806974500,1789314474732535447,0.037181063
77,5.133333333333334,5.133333333,1789314474864662533,1789314474809029237,0.046159696
78,5.2,5.2,1789314474942452558,1789314474878610366,0.035036338
79,5.266666666666667,5.266666667,1789314475013143017,1789314474949059322,0.031012546000000002
80,5.333333333333333,5.333333333000001,1789314475077354077,1789314475014468344,0.033468152
81,5.4,5.4,1789314475136088828,1789314475088063079,0.041400068000000005
82,5.466666666666667,5.466666667,1789314475207180480,1789314475152877963,0.036975083
83,5.533333333333333,5.533333333000001,1789314475298219956,1789314475230771891,0.012602273
84,5.6,5.6000000000000005,1789314475340447242,1789314475293528903,0.037041654
85,5.666666666666667,5.666666667,1789314475404777902,1789314475357876013,0.039377661
86,5.733333333333333,5.733333333,1789314475486601374,1789314475429828066,0.024220855000000003
87,5.8,5.800000000000001,1789314475556934301,1789314475499450947,0.020554595000000002
88,5.866666666666666,5.8666666670000005,1789314475556934301,1789314475499450947,0.08722126200000001
89,5.933333333333334,5.933333333,1789314475687945309,1789314475642078885,0.022876920000000002
90,6.0,6.0,1789314475687945309,1789314475642078885,0.08954358700000001
91,6.066666666666666,6.066666667000001,1789314475843979533,1789314475786932461,0.00017603
92,6.133333333333334,6.133333333,1789314475843979533,1789314475786932461,0.06684269600000001
93,6.2,6.2,1789314475912124458,1789314475858157666,0.06536443800000001
94,6.266666666666667,6.266666667,1789314475985833224,1789314475922382264,0.058322339
95,6.333333333333333,6.333333333000001,1789314476064413567,1789314475997198376,0.046408662
96,6.4,6.4,1789314476126324726,1789314476061786435,0.05116417
97,6.466666666666667,6.466666667,1789314476196611169,1789314476132675614,0.047544394000000004
98,6.533333333333333,6.533333333000001,1789314476260639056,1789314476200123761,0.050183173000000005
99,6.6,6.6000000000000005,1789314476331904701,1789314476273403944,0.045584195
100,6.666666666666667,6.666666667,1789314476405084710,1789314476342982837,0.039070853
101,6.733333333333333,6.733333333,1789314476472454351,1789314476412383019,0.038367878
102,6.8,6.800000000000001,1789314476543795077,1789314476483883670,0.033693819
103,6.866666666666666,6.8666666670000005,1789314476616422278,1789314476561715910,0.027733285000000003
104,6.933333333333334,6.933333333,1789314476696005117,1789314476623040240,0.014817112
105,7.0,7.0,1789314476754999731,1789314476694600579,0.022489165000000002
106,7.066666666666666,7.066666667000001,1789314476822095096,1789314476763160426,0.022060467
107,7.133333333333334,7.133333333,1789314476892069498,1789314476834216603,0.018752731
108,7.2,7.2,1789314476974463813,1789314476911097453,0.003025083
109,7.266666666666667,7.266666667000001,1789314476974463813,1789314476911097453,0.06969175000000001
110,7.333333333333333,7.333333333000001,1789314477103375426,1789314477037916418,0.007446803
111,7.4,7.4,1789314477173721030,1789314477119396900,0.0037678660000000004
112,7.466666666666667,7.466666667,1789314477173721030,1789314477119396900,0.07043453300000001
113,7.533333333333333,7.533333333000001,1789314477309746760,1789314477262384157,0.0010754690000000001
114,7.6,7.6000000000000005,1789314477309746760,1789314477262384157,0.06774213600000001
115,7.666666666666667,7.666666667,1789314477378119272,1789314477323022912,0.06603629100000001
116,7.733333333333333,7.733333333000001,1789314477447684262,1789314477396818124,0.063137967
117,7.8,7.800000000000001,1789314477515770496,1789314477461185084,0.06171840000000001
118,7.866666666666666,7.8666666670000005,1789314477605478753,1789314477532995106,0.03867681
119,7.933333333333334,7.933333333,1789314477677165270,1789314477607870844,0.033656959
120,8.0,8.0,1789314477741125520,1789314477678456961,0.036363376
121,8.066666666666666,8.066666667,1789314477797144562,1789314477741316873,0.047011001000000004
122,8.133333333333333,8.133333333000001,1789314477874354497,1789314477813812938,0.036467732
123,8.2,8.200000000000001,1789314477949194358,1789314477893564872,0.028294538
124,8.266666666666667,8.266666667,1789314478017262571,1789314477958503235,0.026892992
125,8.333333333333334,8.333333333,1789314478075848692,1789314478021020539,0.034973537
126,8.4,8.4,1789314478158740801,1789314478095677610,0.018748095000000003
127,8.466666666666667,8.466666667,1789314478218062603,1789314478161852795,0.026092960000000002
128,8.533333333333333,8.533333333,1789314478290618149,1789314478230897254,0.020204080000000003
129,8.6,8.600000000000001,1789314478360514464,1789314478304369721,0.016974432
130,8.666666666666666,8.666666667000001,1789314478432020496,1789314478375462034,0.012135067000000001
131,8.733333333333333,8.733333333000001,1789314478505163896,1789314478450650855,0.005658333000000001
132,8.8,8.8,1789314478567228427,1789314478514146583,0.010260469000000001
133,8.866666666666667,8.866666667,1789314478567228427,1789314478514146583,0.07692713600000001
134,8.933333333333334,8.933333333,1789314478650507978,1789314478589375282,0.060314251000000006
135,9.0,9.0,1789314478734284107,1789314478668019630,0.043204789
