t_s,utc,distance_m,bearing_rad
0.053280989000086265,2026-09-13T10:17:03.422188+00:00,3.4152681827545166,0.5126591920852661
0.12832722099983584,2026-09-13T10:17:03.497229+00:00,3.4152326583862305,0.5124663710594177
0.21506453299980421,2026-09-13T10:17:03.583969+00:00,3.415330648422241,0.5123388171195984
0.28806071200006045,2026-09-13T10:17:03.656966+00:00,3.4152889251708984,0.5125267505645752
0.35411393799995494,2026-09-13T10:17:03.723018+00:00,3.415243625640869,0.5123850107192993
0.41774583400001575,2026-09-13T10:17:03.786645+00:00,3.4152283668518066,0.512325644493103
0.47982459099966945,2026-09-13T10:17:03.848747+00:00,3.4151875972747803,0.5124967694282532
0.5528782749997845,2026-09-13T10:17:03.921784+00:00,3.4151947498321533,0.5126233696937561
0.6198916289999943,2026-09-13T10:17:03.988794+00:00,3.415195941925049,0.5123718976974487
0.6975800939999317,2026-09-13T10:17:04.066481+00:00,3.4151713848114014,0.5125903487205505
0.7543663199999173,2026-09-13T10:17:04.123274+00:00,3.415158271789551,0.5126975774765015
0.8169969669997954,2026-09-13T10:17:04.185906+00:00,3.4152004718780518,0.5124548077583313
0.8923583139999209,2026-09-13T10:17:04.261263+00:00,3.415175437927246,0.5125553607940674
0.973503533999974,2026-09-13T10:17:04.342380+00:00,3.4150888919830322,0.5128127932548523
1.0434496269999727,2026-09-13T10:17:04.412357+00:00,3.4151408672332764,0.5126864314079285
1.1155485909998788,2026-09-13T10:17:04.484456+00:00,3.4151813983917236,0.5125814080238342
1.1809232659998088,2026-09-13T10:17:04.549833+00:00,3.4151148796081543,0.5129067301750183
1.236265124000056,2026-09-13T10:17:04.605165+00:00,3.415127992630005,0.5128234624862671
1.3344237799997245,2026-09-13T10:17:04.703341+00:00,3.4151926040649414,0.5126701593399048
1.3802264060000198,2026-09-13T10:17:04.749131+00:00,3.4151244163513184,0.512794554233551
1.4848996480000096,2026-09-13T10:17:04.853817+00:00,3.4150776863098145,0.513053834438324
1.5330619689998457,2026-09-13T10:17:04.901969+00:00,3.4151060581207275,0.5128194689750671
1.6194953350000105,2026-09-13T10:17:04.988396+00:00,3.4151110649108887,0.5128827095031738
1.6812356479999835,2026-09-13T10:17:05.049957+00:00,3.415099620819092,0.5130629539489746
1.7305254309999327,2026-09-13T10:17:05.099443+00:00,3.4151530265808105,0.5129107236862183
1.842971511000087,2026-09-13T10:17:05.211868+00:00,3.415163040161133,0.5130550861358643
1.877851945999737,2026-09-13T10:17:05.246767+00:00,3.4151289463043213,0.5132548213005066
1.9639901659998031,2026-09-13T10:17:05.332903+00:00,3.415116310119629,0.5132413506507874
2.0269711279997864,2026-09-13T10:17:05.395873+00:00,3.4150872230529785,0.5131016969680786
2.0854192669999065,2026-09-13T10:17:05.454328+00:00,3.4150760173797607,0.5133644342422485
2.163634692999949,2026-09-13T10:17:05.532543+00:00,3.4150807857513428,0.5132656097412109
2.2297395999999026,2026-09-13T10:17:05.598639+00:00,3.415018081665039,0.5130585432052612
2.3017202569999426,2026-09-13T10:17:05.670624+00:00,3.4149627685546875,0.5131831765174866
2.360548023999854,2026-09-13T10:17:05.729456+00:00,3.414959192276001,0.5132325291633606
2.460885792999761,2026-09-13T10:17:05.829786+00:00,3.4150454998016357,0.5131036043167114
2.520338604999779,2026-09-13T10:17:05.889239+00:00,3.415050506591797,0.5132397413253784
2.557273700999758,2026-09-13T10:17:05.926183+00:00,3.415051221847534,0.5134932398796082
2.661386284999935,2026-09-13T10:17:06.030290+00:00,3.4151856899261475,0.513262152671814
2.7399486979998073,2026-09-13T10:17:06.108858+00:00,3.4152169227600098,0.5132169723510742
2.795150007999837,2026-09-13T10:17:06.164052+00:00,3.415130376815796,0.5134480595588684
2.8765007070001047,2026-09-13T10:17:06.245409+00:00,3.4151065349578857,0.5133281946182251
2.943836087999898,2026-09-13T10:17:06.312754+00:00,3.4151318073272705,0.5133230686187744
3.0298377909998635,2026-09-13T10:17:06.398740+00:00,3.4150662422180176,0.5135467648506165
3.0926496600000064,2026-09-13T10:17:06.461559+00:00,3.4150235652923584,0.5135622620582581
3.1420775599999615,2026-09-13T10:17:06.510980+00:00,3.415027141571045,0.5134120583534241
3.204645932999938,2026-09-13T10:17:06.573549+00:00,3.4150547981262207,0.5135761499404907
3.2749681020000025,2026-09-13T10:17:06.643879+00:00,3.4150197505950928,0.5137873888015747
3.3599685229996794,2026-09-13T10:17:06.728870+00:00,3.415062427520752,0.5135633945465088
3.4301225589997557,2026-09-13T10:17:06.798870+00:00,3.41504168510437,0.5136384963989258
3.4872638689998894,2026-09-13T10:17:06.856167+00:00,3.4149723052978516,0.51385098695755
3.554845369999839,2026-09-13T10:17:06.923746+00:00,3.4150149822235107,0.5137961506843567
3.6348380720000932,2026-09-13T10:17:07.003752+00:00,3.415005683898926,0.5138701796531677
3.677708118999817,2026-09-13T10:17:07.046615+00:00,3.4149556159973145,0.5140206217765808
3.789932911000051,2026-09-13T10:17:07.158836+00:00,3.414984941482544,0.514024555683136
3.8167966609998984,2026-09-13T10:17:07.185704+00:00,3.4150006771087646,0.5138362050056458
3.9062313760000507,2026-09-13T10:17:07.275135+00:00,3.414921998977661,0.5140365958213806
4.011670756000058,2026-09-13T10:17:07.380569+00:00,3.4149298667907715,0.5141028761863708
4.04245620599977,2026-09-13T10:17:07.411361+00:00,3.415024518966675,0.5138357281684875
4.114852171999701,2026-09-13T10:17:07.483761+00:00,3.415015935897827,0.5137737989425659
4.207944641999802,2026-09-13T10:17:07.576844+00:00,3.4149818420410156,0.5139966011047363
4.259715180000057,2026-09-13T10:17:07.628618+00:00,3.415020704269409,0.5138733386993408
4.325928187000045,2026-09-13T10:17:07.694834+00:00,3.416083335876465,0.5029694437980652
