run,step,action,start_s,end_s,command_deg,odom_deg,body_imu_deg,integrated_body_gyro_deg,time_alignment_error_s,direction_signs_agree
direct_goal-goal-4-004,5,turn_left,9.150348901748657,12.806037187576294,29.999999999999996,28.30842341724423,28.33240673387286,27.646408255789346,0.008283138275146484,True
direct_goal-goal-4-004,11,turn_left,21.48217797279358,25.358779430389404,29.999999999999996,30.633600944888137,30.621841747431528,30.74610936344437,0.004118680953979492,True
direct_goal-goal-4-004,14,turn_right,29.076805114746094,35.61059784889221,-29.999999999999996,-27.563974426583354,-27.627230683204075,-27.063975633162276,0.010415792465209961,True
direct_goal-goal-4-004,15,turn_right,36.00419354438782,45.516589641571045,-29.999999999999996,-31.471545349715953,-31.452980146773697,-31.475877489848838,0.008932828903198242,True
direct_goal-goal-4-004,17,turn_left,47.62399744987488,49.95420169830322,29.999999999999996,29.872808392331994,29.851708890208617,29.76844300540258,0.00633692741394043,True
direct_goal-goal-4-004,23,turn_right,59.084343671798706,62.50695252418518,-29.999999999999996,-29.301802306270556,-29.307330860527554,-29.665666988979083,0.010985374450683594,True
direct_goal-goal-4-003,21,turn_right,36.99632954597473,39.06739950180054,-29.999999999999996,-31.458229001974548,-31.453882158630964,-31.562541066313667,0.010206222534179688,True
direct_goal-goal-4-003,27,turn_right,49.127726793289185,53.27135181427002,-29.999999999999996,-29.55500623381704,-29.546345646569332,-29.407650138634736,0.010843038558959961,True
direct_goal-goal-4-003,28,turn_right,53.81227421760559,55.816712379455566,-29.999999999999996,-30.21502450893071,-30.27594730748374,-30.18788541049185,0.009195089340209961,True
direct_goal-goal-4-003,29,turn_right,56.43300771713257,58.3259117603302,-29.999999999999996,-32.16017523065235,-32.15900997108874,-32.28323134179985,0.005403757095336914,True
