run,step_index,raw_action,action_name,kind,target,measured_progress,measured_turn_deg,elapsed_s,goal_bearing_before_action_deg,pose_receipt_to_action_start_s,controller_status,direction_mapping_matches
direct_goal-goal-4-002,0,5,look_down,translate,0.20000000298023224,0.2079745939437418,,1.2425343830000202,-20.105398313803715,0.021217823028564453,OK,True
direct_goal-goal-4-002,1,5,look_down,translate,0.20000000298023224,0.20997266534762649,,1.2747598599999037,-21.487162836518507,0.010784626007080078,OK,True
direct_goal-goal-4-002,2,5,look_down,translate,0.20000000298023224,0.2061955719769983,,1.2094099480000295,-22.831082193658965,0.012114763259887695,OK,True
direct_goal-goal-4-002,3,1,move_forward,translate,0.25,0.2574530855126947,,1.3347173060001296,-24.797776492710643,0.010766029357910156,OK,True
direct_goal-goal-4-002,4,1,move_forward,translate,0.25,0.25834283267277114,,1.430248427999686,-25.279133503822415,0.014737129211425781,OK,True
direct_goal-goal-4-002,5,1,move_forward,translate,0.25,0.25646563000295164,,1.2661030440003742,-25.377760118789308,0.0026285648345947266,OK,True
direct_goal-goal-4-002,6,1,move_forward,translate,0.25,0.25926131006416187,,1.4683175629998004,-26.36856441405099,0.0074999332427978516,OK,True
direct_goal-goal-4-002,7,1,move_forward,translate,0.25,0.25072018133622437,,1.3963816919999772,-26.431044279514687,0.025684118270874023,OK,True
direct_goal-goal-4-002,8,1,move_forward,translate,0.25,0.2665673250870558,,1.402433996000127,-27.72804005870244,0.008673429489135742,OK,True
direct_goal-goal-4-002,9,1,move_forward,translate,0.25,0.25368544319882735,,1.2452789989997655,-27.48290516156449,0.01708507537841797,OK,True
direct_goal-goal-4-002,10,1,move_forward,translate,0.25,0.26066365468897784,,1.5038805509998383,-29.030518855064393,0.03780245780944824,OK,True
direct_goal-goal-4-002,11,5,look_down,translate,0.20000000298023224,0.2157569179500289,,1.1521995350003635,-29.76282516201919,0.03843855857849121,OK,True
direct_goal-goal-4-002,12,5,look_down,translate,0.20000000298023224,0.20144629520372934,,1.2576272189999145,-30.48394286627434,0.021962881088256836,OK,True
direct_goal-goal-4-002,13,5,look_down,translate,0.20000000298023224,0.20271311724159155,,1.187858494000011,-32.14589456335781,0.016825199127197266,OK,True
direct_goal-goal-4-002,14,5,look_down,translate,0.20000000298023224,0.19879053377772282,,1.4369435720000183,-33.72184388734588,0.0006854534149169922,OK,True
direct_goal-goal-4-002,15,5,look_down,translate,0.20000000298023224,0.19628953147216416,,1.4245527130001392,-35.5115225062287,0.03554987907409668,OK,True
direct_goal-goal-4-002,16,5,look_down,translate,0.20000000298023224,0.19894907861226235,,1.4355622759999278,-36.42044837092417,0.022885560989379883,OK,True
direct_goal-goal-4-002,17,1,move_forward,translate,0.25,0.2673029566360887,,1.4448826610000651,-36.952341073465334,0.056043386459350586,OK,True
direct_goal-goal-4-002,18,5,look_down,translate,0.20000000298023224,0.21197870520097944,,1.1882286860000022,-36.07357691838765,0.04553079605102539,OK,True
direct_goal-goal-4-002,19,1,move_forward,translate,0.25,0.24876018953185797,,1.3892017859998305,-36.90328674258576,0.02413034439086914,OK,True
direct_goal-goal-4-003,0,5,look_down,translate,0.20000000298023224,0.21960415080883533,,1.27478155100016,-20.040952302058432,0.005388498306274414,OK,True
direct_goal-goal-4-003,1,5,look_down,translate,0.20000000298023224,0.20440330708047735,,1.4357248209998943,-21.83470656590182,0.004754304885864258,OK,True
direct_goal-goal-4-003,2,5,look_down,translate,0.20000000298023224,0.19889253204933535,,1.4138652450001246,-24.736174055403804,0.0034029483795166016,OK,True
direct_goal-goal-4-003,3,1,move_forward,translate,0.25,0.26099092772281307,,1.3094025640002656,-26.256342382608224,0.03032398223876953,OK,True
direct_goal-goal-4-003,4,1,move_forward,translate,0.25,0.25891369918872376,,1.3554406089997428,-25.591556574272147,0.0034971237182617188,OK,True
direct_goal-goal-4-003,5,1,move_forward,translate,0.25,0.2671662734416953,,1.4402210520001972,-26.219337478599467,0.013473749160766602,OK,True
direct_goal-goal-4-003,6,1,move_forward,translate,0.25,0.2561708509259399,,1.239739046000068,-25.440467485994986,0.010796070098876953,OK,True
direct_goal-goal-4-003,7,1,move_forward,translate,0.25,0.26614617101204574,,1.4323913960001846,-26.895766214429628,0.0320432186126709,OK,True
direct_goal-goal-4-003,8,1,move_forward,translate,0.25,0.25573964808400296,,1.2519147570001223,-27.30444792795293,0.0018477439880371094,OK,True
direct_goal-goal-4-003,9,1,move_forward,translate,0.25,0.2672762621095733,,1.435936201000004,-27.907426899731963,0.009453058242797852,OK,True
direct_goal-goal-4-003,10,1,move_forward,translate,0.25,0.2582574126217185,,1.3268210410001302,-28.227643969470673,0.027631044387817383,OK,True
direct_goal-goal-4-003,11,1,move_forward,translate,0.25,0.26010801203494,,1.4323697390000234,-29.669424797464725,0.05975699424743652,OK,True
direct_goal-goal-4-003,12,1,move_forward,translate,0.25,0.25503705453844316,,1.404012856999998,-30.950818306004468,0.03240156173706055,OK,True
direct_goal-goal-4-003,13,1,move_forward,translate,0.25,0.2550193337903246,,1.451708429000064,-31.872728035124048,0.009167671203613281,OK,True
direct_goal-goal-4-003,14,1,move_forward,translate,0.25,0.26396630246819724,,1.3976140050003778,-33.58618036817868,0.05509829521179199,OK,True
direct_goal-goal-4-003,15,1,move_forward,translate,0.25,0.2518272934176621,,1.2778123299999606,-33.29070082127778,0.00895237922668457,OK,True
direct_goal-goal-4-003,16,1,move_forward,translate,0.25,0.2617757976385105,,1.3693911350001144,-34.95666779880398,0.010848760604858398,OK,True
direct_goal-goal-4-003,17,1,move_forward,translate,0.25,0.2604815587828496,,1.3831270979999317,-35.97417038735144,0.019317626953125,OK,True
direct_goal-goal-4-003,18,1,move_forward,translate,0.25,0.26366428627376526,,1.3484722739999597,-37.15797279981528,0.010226964950561523,OK,True
direct_goal-goal-4-003,19,1,move_forward,translate,0.25,0.2595654088470198,,1.2919598019998375,-37.90532430398065,0.020172119140625,OK,True
direct_goal-goal-4-003,20,1,move_forward,translate,0.25,0.26681340075989046,,1.4282429720001346,-39.704469169995726,0.018558025360107422,OK,True
direct_goal-goal-4-003,21,3,turn_right,rotate,-0.5235987755982988,-0.5490496729308256,-31.458229001974548,2.0710700170002383,-40.65846937726923,0.003429889678955078,OK,True
direct_goal-goal-4-003,22,1,move_forward,translate,0.25,0.26071855246074205,,1.3211629729999004,-9.393077984263224,0.0006225109100341797,OK,True
direct_goal-goal-4-003,23,1,move_forward,translate,0.25,0.2579772723615046,,1.2860966560001543,-11.99750883911943,0.005342006683349609,OK,True
direct_goal-goal-4-003,24,1,move_forward,translate,0.25,0.2590988228493179,,1.4017447849996643,-12.880535746882742,0.009647130966186523,OK,True
direct_goal-goal-4-003,25,1,move_forward,translate,0.25,0.2633320649134286,,1.3188699009997435,-13.4347912535616,0.013391494750976562,OK,True
direct_goal-goal-4-003,26,1,move_forward,translate,0.25,0.26938501050453834,,1.3510811580003974,-13.777302365526191,0.09042000770568848,OK,True
direct_goal-goal-4-003,27,3,turn_right,rotate,-0.5235987755982988,-0.5158321692275564,-29.55500623381704,4.143624953000199,-14.07921740345744,0.02057027816772461,OK,True
direct_goal-goal-4-003,28,3,turn_right,rotate,-0.5235987755982988,-0.5273516612516237,-30.21502450893071,2.0044381340003383,14.842353389602147,0.011761665344238281,OK,True
direct_goal-goal-4-003,29,3,turn_right,rotate,-0.5235987755982988,-0.5613009457932103,-32.16017523065235,1.8929041599999437,44.794994003607805,0.029844284057617188,OK,True
direct_goal-goal-4-004,0,5,look_down,translate,0.20000000298023224,0.20761708353742028,,1.181620395000209,-20.103726631134453,0.005202293395996094,OK,True
