run,result,navigation,goal,look_execution,turn_speed_radps,duration_s,final_goal_distance_m,path_10hz_m,path_per_episode_s,macro_count,macro_covered_s,other_time_s,macro_overlap_s,vlm_call_count,vlm_error_count,http_pending_union_s,http_overlaps_macro_s,http_overlaps_nonzero_translation_command_s,http_pending_outside_macros_s,http_latency_median_s,navigation_http_median_s,navigation_http_p95_s,translation_nonzero_command_s,translation_zero_command_s,rotation_nonzero_command_s,rotation_zero_command_s,initial_to_first_translate_s,observation_or_alignment_turn_s,look_forward_10cm_s,forward_s,look_forward_20cm_s,policy_turn_s
original5/full-goal-1-002,GOAL_DISTANCE_REACHED,full,1,forward_0p1,0.5,90.14568305015564,0.999914824962616,3.53676244705628,0.039233852663676426,27,59.74357318878174,30.4021098613739,0.0,38,0,23.872955560684204,12.46035361289978,8.908765077590942,11.412601947784424,0.6474982735001049,2.8604697774999295,2.922780160500224,14.062374864000049,5.504815022999537,22.03598421300012,17.380512893000287,36.245272159576416,39.628965616226196,14.243237972259521,5.8713696002960205,,
original5/full-goal-1-006,CONTROLLER_INHIBITED:MOTION_TIMEOUT,full,1,forward_0p2,0.8,33.826175928115845,3.418398857116699,0.3192916895554329,0.009439189645142303,5,24.777434825897217,9.048741102218628,0.0,1,0,0.5077164173126221,0.23814177513122559,0,0.2695746421813965,0.7380723749993194,,,0,0,7.875881087999005,16.820291665002514,,24.777434825897217,,,,
original5/full-goal-1-007,GOAL_DISTANCE_REACHED,full,1,forward_0p2,0.8,53.62438607215881,0.982985258102417,2.896694577463165,0.054018232927930836,16,33.99565815925598,19.628727912902832,0.0,26,0,16.337902307510376,8.9923574924469,6.674088001251221,7.345544815063477,0.6375139189995025,2.7736231110002336,2.9738292152986108,11.317582321000373,3.136228970000957,5.561044622998452,13.691971001002457,35.92841815948486,19.34625816345215,,7.140436887741089,7.508963108062744,
original5/full-goal-2-001,TRIAL_TIME_LIMIT,full,2,forward_0p1,0.5,360.0647130012512,1.6213021278381348,8.989897567517714,0.024967449580338284,70,282.2093334197998,77.85537958145142,0.0,116,0,76.02913331985474,39.99294686317444,16.784461498260498,36.0361864566803,0.6438614800001687,2.728290819999984,3.119817039000054,26.245147589998396,10.353114522000396,126.33523163600057,117.42723091700054,47.50972080230713,165.83876419067383,25.149707317352295,12.301199674606323,,78.91966223716736
original5/full-goal-2-004,CONTROLLER_INHIBITED:SWEEP_CANCELLED,full,2,forward_0p2,0.6,136.4951868057251,2.695281505584717,4.34682902114661,0.03184602419229254,34,104.16113305091858,32.33405375480652,0.0,51,0,33.017332792282104,20.41807198524475,5.309418678283691,12.599260807037354,0.6859975449997364,2.7835259204998692,3.1582387537497194,12.24879536500248,3.760823353996784,40.13523883399921,47.18837824300408,34.23588252067566,57.67868614196777,,2.7346537113189697,13.57883596420288,30.168957233428955
original5/full-goal-2-006,TRIAL_TIME_LIMIT,full,2,forward_0p2,0.8,360.0562160015106,2.8306527137756348,12.738643378838677,0.03537959577619188,89,262.0984585285187,97.95775747299194,0.0,121,0,69.10274457931519,28.22703194618225,12.489881038665771,40.875712633132935,0.6287120619999769,2.9320608010002616,3.300590290000764,34.24774920199525,11.454907731998901,85.48320481099472,128.46200841100836,36.95590949058533,139.5648274421692,,21.99544644355774,24.576282262802124,75.96190237998962
original5/full-goal-3-003,CONTROLLER_INHIBITED:NO_MOTION_PROGRESS,full,3,forward_0p1,0.5,224.69274806976318,4.145452976226807,8.11782538345623,0.03612855979195104,58,175.46793794631958,49.2248101234436,0.0,110,0,59.63171148300171,36.04487943649292,19.113753080368042,23.58683204650879,0.6372783439999239,2.846477514999833,3.046057758400252,32.76266849600006,12.510039399998277,61.26493542699973,67.4061146590002,26.578030347824097,89.2815637588501,30.954386472702026,15.380167484283447,,39.85182023048401
original5/full-goal-3-006,CONTROLLER_INHIBITED:MOTION_TIMEOUT,full,3,forward_0p2,0.6,203.77984499931335,2.0738143920898438,10.148158031331967,0.0497996160089638,54,154.72868466377258,49.05116033554077,0.0,73,0,54.22934317588806,31.653454780578613,18.589503049850464,22.57588839530945,0.8102830990001166,2.891124673000377,3.1303483785999555,33.74291225700017,11.092788007998934,47.893584811002256,60.85050454999691,28.00625467300415,87.89041304588318,,18.143373012542725,27.38709044456482,21.30780816078186
original5/full-goal-3-008,GOAL_DISTANCE_REACHED,full,3,forward_0p2,0.8,181.34979104995728,0.9719639420509338,11.054509109903254,0.06095683400516307,65,129.01125478744507,52.33853626251221,0.0,94,0,59.7111759185791,36.09130620956421,21.761727333068848,23.619869709014893,0.6227091640002982,2.6903871650001747,3.2060606359991652,37.58520610599953,11.324073016989132,30.353568047001318,48.20852036299948,17.623629570007324,36.82574677467346,,19.985717296600342,29.889358043670654,42.31043267250061
original5/full-goal-4-004,CONTROLLER_INHIBITED:MOTION_TIMEOUT,full,4,forward_0p1,0.5,344.9056761264801,5.331369876861572,11.085061577606346,0.03213940026183087,77,263.7098858356476,81.19579029083252,0.0,127,0,87.86400127410889,48.386677265167236,21.08966064453125,39.47732400894165,0.6479231809998964,2.724959074999788,3.0330904991997154,36.48294334300044,14.150783401997614,103.26634330199795,107.77717997299806,56.100443840026855,153.94901990890503,30.97197985649109,20.79204535484314,,57.996840715408325
original5/full-goal-4-006,CONTROLLER_INHIBITED:COMMAND_TRANSPORT_FAILED,full,4,forward_0p2,0.6,4.353855133056641,11.302820205688477,0.002442493204091497,0.000560995515341535,1,0.05504250526428223,4.298812627792358,0.0,0,0,0,0,0,0,,,,0,0,0.0,0.0,,0.05504250526428223,,,,
original5/full-goal-4-007,CONTROLLER_INHIBITED:MOTION_TIMEOUT,full,4,forward_0p2,0.6,301.1586730480194,4.5316925048828125,11.793220619891354,0.039159491906815974,68,240.600998878479,60.557674169540405,0.0,101,0,67.24623775482178,37.42556619644165,18.398828506469727,29.820671558380127,0.6633943280003223,2.717069485999673,3.126644605599904,34.23218150800221,11.57885325499683,79.01523427199572,114.09882827900492,40.46765208244324,142.99531507492065,,15.25318169593811,31.49812340736389,50.85437870025635
original5/full-goal-4-009,GOAL_DISTANCE_REACHED,full,4,forward_0p2,0.8,302.35424399375916,0.9839638471603394,14.96849839810426,0.04950649344420388,82,218.15795278549194,84.19629120826721,0.0,131,0,80.3543164730072,45.3446159362793,25.5571072101593,35.009700536727905,0.5981112640001811,2.690794331001598,3.153688782000245,50.250167009993675,14.810870824005178,53.734213876992726,97.5358054030039,37.213056325912476,119.78484416007996,,40.0037841796875,26.230118989944458,32.13920545578003
original5/full-goal-5-004,CONTROLLER_INHIBITED:NO_MOTION_PROGRESS,full,5,forward_0p2,0.6,210.54990696907043,3.8438215255737305,7.942922436735969,0.0377246542213043,56,151.55140042304993,58.99850654602051,0.0,110,0,58.99914884567261,34.48449683189392,11.57365369796753,24.514652013778687,0.6582162224999593,2.7915562399994087,3.017869210000208,25.965953330000048,7.2197712030010734,60.97087055200245,55.6141987289966,29.37101101875305,58.73269438743591,,6.935343503952026,26.916561365127563,58.966801166534424
