elapsed_s,x_m,y_m,yaw_rad,stamp_ns,frame,episode_time_s
0.11491018300057476,-3.1223690509796143,3.2471799850463867,2.1778233465553978,1789284580776502482,odom,-2.4817323349998333
0.16901801900075952,-3.1222825050354004,3.247138023376465,2.177849859796067,1789284580866494051,odom,-2.4276244989996485
0.2224580510001033,-3.1223204135894775,3.2470762729644775,2.1777727778297757,1789284580915244929,odom,-2.3741844670003047
0.27926855600071576,-3.1223325729370117,3.2470901012420654,2.1776118645345472,1789284580960582367,odom,-2.3173739619996923
0.33695657000043866,-3.1223042011260986,3.247220039367676,2.1776424000376275,1789284581023947827,odom,-2.2596859479999694
0.3900170660008371,-3.1222705841064453,3.2471792697906494,2.1776863552789156,1789284581089893691,odom,-2.206625451999571
0.4421177800004443,-3.1223156452178955,3.2471494674682617,2.1776448316847117,1789284581120067469,odom,-2.1545247379999637
0.5000414190008087,-3.1223695278167725,3.2470977306365967,2.177436134206376,1789284581193391911,odom,-2.0966010989995993
0.5542268260005585,-3.1223056316375732,3.247206687927246,2.177405329103289,1789284581246414773,odom,-2.0424156919998495
0.6095430310006122,-3.122239828109741,3.247202157974243,2.1775137846142227,1789284581304041020,odom,-1.9870994869997958
0.6620891710008436,-3.122271776199341,3.2471113204956055,2.177535296687915,1789284581346605412,odom,-1.9345533469995644
0.7189769590004289,-3.1223323345184326,3.247082471847534,2.1773538188824975,1789284581403109900,odom,-1.8776655589999791
0.7862888530007694,-3.1222763061523438,3.2471048831939697,2.1773023889276666,1789284581463064782,odom,-1.8103536649996386
0.845388316000026,-3.122197151184082,3.247124671936035,2.177372093178767,1789284581529717080,odom,-1.751254202000382
0.8995216880002772,-3.1222434043884277,3.24704647064209,2.1773289606442563,1789284581583249203,odom,-1.6971208300001308
0.9571262740000748,-3.122314929962158,3.247068166732788,2.1771290614162364,1789284581653210036,odom,-1.6395162440003332
1.0087398960004066,-3.122267246246338,3.2471275329589844,2.1770879784049373,1789284581706457488,odom,-1.5879026220000014
1.0598546820001502,-3.122235059738159,3.247152805328369,2.1771970171866286,1789284581746726862,odom,-1.5367878360002578
1.1139887580002323,-3.1222963333129883,3.2471559047698975,2.1772697871111832,1789284581799849144,odom,-1.4826537600001757
1.1702861870007837,-3.1223249435424805,3.2471063137054443,2.1771195767417657,1789284581853289238,odom,-1.4263563309996243
1.2290125470008206,-3.12231183052063,3.247180700302124,2.1769487569609214,1789284581919654957,odom,-1.3676299709995874
1.289161012000477,-3.122269868850708,3.2472331523895264,2.177196756328171,1789284581986610285,odom,-1.307481505999931
1.3470730030003324,-3.122342586517334,3.247209310531616,2.1771987636216794,1789284582033729426,odom,-1.2495695150000756
1.4054049460000897,-3.1224212646484375,3.247222900390625,2.176884228945881,1789284582089646927,odom,-1.1912375720003183
1.4665764940000372,-3.1223838329315186,3.2472193241119385,2.1768120314603214,1789284582153300873,odom,-1.1300660240003708
1.5265976580003553,-3.122262716293335,3.247234344482422,2.1770638713041963,1789284582211027495,odom,-1.0700448600000527
