episode_time_s,odom_x_m,odom_y_m,start_forward_m,start_left_m,yaw_relative_rad,cumulative_path_m,goal_distance_interpolated_m
0.0,-3.1222790386282266,3.2469455288467355,-1.4835970730031193e-05,-7.862402531015288e-06,3.693511027424989e-05,0.0,12.526235642584894
0.1,-3.1221972634663535,3.246920085148539,-8.2311770586387e-05,-6.060304445950173e-05,0.00021440780547443691,8.564203919386674e-05,12.526285662034217
0.2,-3.1223147806763447,3.246899538089335,-3.229505153815965e-05,4.770579221466664e-05,6.0210996143172935e-05,0.00020494198171715965,12.526267955612068
0.3,-3.1222832064964416,3.246997547722352,3.030149058896275e-05,-3.40529376825279e-05,4.796945088969551e-05,0.00030791196278288105,12.526184979053918
0.4,-3.1223430091025386,3.246931303912219,9.891331513001618e-06,5.2826400962517995e-05,0.00012338686357837855,0.0003971565372785141,12.526228888156542
0.5,-3.12234002739649,3.246970934793866,4.077407119071685e-05,2.781133068315083e-05,-3.88983239441032e-05,0.0004368994278513349,12.526192238617933
0.6,-3.1223357754496157,3.2469158061399366,-6.967795270509373e-06,5.570329588980874e-05,0.0001679241796441744,0.0004921918101140931,12.526245878716676
0.7,-3.1224083241576484,3.2469941423421944,9.873762132912591e-05,7.074458981296455e-05,3.032741013475615e-05,0.0005989620101765882,12.52614860712862
0.8,-3.1223809665113533,3.2469787742342673,7.052750533605681e-05,5.700381444470341e-05,0.00021938936009613386,0.0006303406582045613,12.526171844253511
0.9,-3.1224664369228097,3.246981678520647,0.0001215776429398908,0.0001256151077171865,2.227093193285512e-05,0.0007158603992816545,12.526142036713022
1.0,-3.1224137931624,3.247085296970298,0.00017678921314706999,2.3341791875013918e-05,3.849654450105433e-05,0.0008320849604470772,12.526060407995056
1.1,-3.1225024209671757,3.2469847411647375,0.00014458292701774984,0.0001534537165591403,-0.00010167238009550772,0.0009661236034245836,12.526127742227274
1.2,-3.1224106164023335,3.247070555386104,0.00016286153519432547,2.9123305163738082e-05,-0.00011253752683249017,0.0010917904594949998,12.526075397166313
1.3,-3.1224910591758372,3.2470094752597602,0.0001584478868611173,0.00013003089333997342,-0.00011629817836933398,0.0011927945269534638,12.526107875833782
1.4,-3.1225259851707814,3.2470844343285297,0.00023995650381040127,0.00011606549049465326,-0.00034186338352926176,0.0012754908818526803,12.526025716052349
1.5,-3.1225149648766535,3.247071324274682,0.00022290438749016773,0.00011446995811934931,-0.0002540981328258418,0.0012926174808892497,12.526041640135775
